wavelength,flux,ivar
3355.0056,0.4889,2.1915
3355.0384,0.4761,1.7604
3355.0712,0.8896,6.7862
3355.104,1.2316,11.8033
3355.1368,0.9232,6.2751
3355.1696,0.2861,1.2398
3355.2024,0.8951,5.6028
3355.2353,0.9602,7.2861
3355.2681,1.1591,10.5957
3355.3009,1.0217,8.0181
3355.3337,0.9013,6.8782
3355.3665,1.2114,11.2813
3355.3993,0.8427,6.018
3355.4321,0.5832,2.8293
3355.4649,0.9246,6.856
3355.4977,1.1929,11.5421
3355.5305,1.0535,8.786
3355.5633,1.3415,13.552
3355.5961,1.4761,14.4678
3355.6289,1.1731,12.5904
3355.6617,1.6482,8.4019
3355.6945,1.2222,11.6552
3355.7273,1.0604,9.1165
3355.7601,1.244,6.6392
3355.7929,1.064,7.1502
3355.8257,1.1624,10.3836
3355.8585,1.1485,8.3512
3355.8913,1.2664,12.0124
3355.9242,1.568,16.8036
3355.957,1.0932,8.6919
3355.9898,0.9165,6.4067
3356.0226,1.1544,10.4043
3356.0554,1.2522,11.4404
3356.0882,1.1234,9.2865
3356.121,1.278,12.3252
3356.1538,1.162,10.0696
3356.1866,1.1822,10.1581
3356.2194,1.2883,12.5171
3356.2522,0.9619,7.0224
3356.285,0.7488,4.4438
3356.3178,1.0508,8.3983
3356.3506,0.9287,6.7092
3356.3834,0.7527,5.0943
3356.4162,1.4517,15.1396
3356.449,0.8174,5.3581
3356.4818,1.2222,10.455
3356.5146,0.7187,4.5622
3356.5474,1.0365,7.9126
3356.5803,0.9411,7.1054
3356.6131,1.4636,15.9996
3356.6459,0.895,5.7953
3356.6787,1.1442,9.8754
3356.7115,1.1308,10.0559
3356.7443,0.8588,7.4954
3356.7771,0.8205,5.0526
3356.8099,1.0952,9.2407
3356.8427,0.9583,6.9097
3356.8755,1.1733,10.4736
3356.9083,0.9054,6.7446
3356.9411,0.4392,1.6207
3356.9739,0.5361,3.0419
3357.0067,0.8444,6.9956
3357.0395,0.9171,7.2672
3357.0723,1.1406,9.5023
3357.1051,0.8349,5.3112
3357.1379,1.0444,8.0563
3357.1707,0.9631,7.847
3357.2035,1.2029,10.5972
3357.2363,1.4505,16.755
3357.2692,1.2328,10.9975
3357.302,0.7472,4.4459
3357.3348,0.9978,8.1871
3357.3676,1.2488,11.8751
3357.4004,1.2977,13.2382
3357.4332,1.1232,10.1744
3357.466,0.9393,7.5511
3357.4988,1.0697,6.0285
3357.5316,0.4811,1.8836
3357.5644,0.527,2.2395
3357.5972,0.924,6.3144
3357.63,0.9813,7.1406
3357.6628,0.901,5.9522
3357.6956,1.0156,8.226
3357.7284,1.0047,7.5281
3357.7612,0.7128,4.6733
3357.794,1.3853,15.5136
3357.8268,1.4485,6.6849
3357.8596,1.1874,10.5093
3357.8924,1.1328,8.9618
3357.9253,1.0039,7.6899
3357.9581,0.4811,2.2874
3357.9909,1.0947,8.8605
3358.0237,1.2665,11.8306
3358.0565,1.334,10.4693
3358.0893,1.3143,13.9385
3358.1221,0.8581,5.7931
3358.1549,0.9509,2.5934
3358.1877,0.6593,2.8971
3358.2205,1.2706,11.4796
3358.2533,1.5726,13.4539
3358.2861,0.7929,3.6674
3358.3189,0.8249,5.3179
3358.3517,0.9647,6.9351
3358.3845,0.7316,4.0727
3358.4173,0.7965,5.0825
3358.4501,1.2637,14.1016
3358.4829,1.35,14.0952
3358.5157,1.2003,10.9113
3358.5485,1.4585,16.4305
3358.5813,0.6169,2.7545
