year,month,lat,lon,mucape_jkg,shr6_ms,tcw_kgm2,hmelt_m,flh_m
2014,11,-1.5,22.75,4383,3.54,48.23,4328,4734
2014,11,-4.75,23.0,2972,1.44,49.64,4363,4910
2014,11,-3.0,25.25,2848,2.37,47.98,4426,4924
2014,11,-0.5,300.25,4113,3.06,54.14,4644,4824
2014,11,-16.75,295.0,1146,4.23,60.55,4898,5152
2014,11,-6.75,298.25,488,1.36,65.92,4395,4514
2014,11,-2.25,119.0,960,2.41,62.51,4926,5011
2014,11,-2.5,11.25,2311,10.37,52.28,4637,4883
2014,11,-6.25,20.75,4888,4.37,48.17,4347,4912
2014,12,-15.25,130.5,3952,12.32,58.57,5102,5200
2014,12,-18.25,139.75,2860,14.47,51.49,4772,4821
2014,12,-0.25,15.75,3671,11.99,48.33,4706,5056
2014,12,0.25,17.25,4387,3.88,46.09,4680,5002
2014,12,-29.5,306.75,1483,10.61,53.06,4229,4528
2014,12,-13.75,142.75,5764,2.3,49.77,4927,5067
2014,12,0.5,20.25,2462,3.94,48.31,4658,5019
2014,12,-18.0,36.5,6076,5.66,56.06,4726,4806
2014,12,-24.5,305.5,3381,2.74,50.64,4594,4887
2014,12,-12.75,136.5,4286,8.92,61.33,5159,5201
2014,12,-16.5,294.25,1491,7.84,55.75,4803,5193
2014,12,-16.75,46.0,2414,6.13,49.66,4690,4881
2014,12,-2.25,16.75,2654,4.09,47.23,4735,5098
2014,12,-16.75,124.75,4694,7.51,54.0,5003,5217
2014,12,-16.75,125.75,3730,6.1,47.14,4820,5261
2014,12,-17.5,124.25,3361,6.27,54.53,5155,5216
2014,12,-6.0,284.0,1243,3.82,55.26,4569,4734
2014,12,2.25,23.25,3923,1.62,44.36,4540,4975
2014,12,1.5,23.5,2507,1.37,47.7,4585,4977
2014,12,-4.25,26.75,3599,0.92,45.04,4454,5049
2014,12,-12.75,131.25,3320,11.4,54.84,5264,5301
2014,12,-13.5,131.0,2676,8.3,44.49,5224,5327
2014,12,-26.25,301.5,2214,13.5,58.64,4773,4847
2014,12,-14.5,126.5,4341,4.91,62.76,5072,5218
2014,12,-23.0,303.25,2180,13.95,60.4,4884,5051
2014,12,-4.0,14.75,2040,6.02,44.98,4278,4721
2014,12,-18.25,138.75,2662,6.19,57.16,4789,4851
2014,12,-18.75,139.25,2306,6.78,53.53,4985,5078
2014,12,-14.75,37.25,2182,4.19,47.91,4460,5042
2014,12,-15.5,39.25,2613,5.0,55.42,4754,5002
2014,12,-3.75,310.25,1390,10.39,58.98,4721,4825
2014,12,-18.0,33.75,2834,2.48,49.92,4638,5207
2014,12,2.25,104.0,494,6.88,64.98,4562,4647
2014,12,-13.25,39.5,2811,7.03,50.89,4573,4969
2014,12,-1.5,20.25,2037,3.6,50.08,4337,4703
2014,12,-29.25,301.5,1729,18.42,59.06,4772,4853
2014,12,-10.25,299.0,1154,8.25,50.31,4716,4888
