x_mpch,y_mpch,z_mpch
511.3228,-654.3529,-83.4554
506.2001,-666.7053,-78.3247
197.6743,-745.0471,-98.3962
440.2086,-690.9330,-85.7915
524.2279,-671.9163,-77.2314
593.3653,-663.9501,-86.6688
-20.4308,-825.6281,-98.3379
317.0763,-739.2151,-93.4537
416.4642,-716.9235,-86.5580
313.1805,-768.3584,-94.6812
724.1819,-668.3231,-80.9578
505.9808,-763.7901,-85.1985
660.5453,-743.7694,-74.8647
31.9450,-942.6745,-96.0973
365.7993,-850.4973,-87.6387
515.2903,-806.6387,-88.2526
620.2097,-776.4312,-77.4820
453.4585,872.9468,-71.3724
420.3640,882.8321,-78.5586
452.8456,870.4760,-72.3503
471.4216,862.8134,-68.4266
246.6201,906.6899,-85.1885
513.5817,822.4837,-67.2584
244.7690,904.8588,-84.2814
621.0488,782.0165,-65.1334
-54.1357,988.0413,-84.9912
-7.0959,972.0271,-86.2873
-47.0631,983.6518,-87.9399
-40.6645,981.1355,-93.1468
266.7991,885.5710,-73.8757
-50.0404,980.7707,-81.9559
-51.9058,979.5097,-92.7114
-85.5992,984.1106,-83.9750
-52.8172,973.6605,-95.0531
-85.9290,979.6757,-95.4230
-61.4903,971.5560,-94.6902
205.5217,889.2070,-76.4059
-43.2409,955.8246,-85.5531
-16.5910,937.1954,-86.6341
257.4797,845.6505,-75.9517
698.9137,711.9096,-65.0742
518.5309,744.4243,-73.8578
33.7964,873.6319,-80.2957
303.8653,798.0132,-77.5016
2.5003,879.1199,-91.1562
660.7970,695.3901,-68.9533
27.7861,869.7214,-85.8395
568.6490,718.5904,-65.1078
636.3766,690.0497,-70.5444
643.8429,686.3564,-73.3222
-257.0029,922.9710,-91.9224
761.2550,645.9702,-61.1862
521.4586,708.2956,-69.7002
91.7882,821.2524,-84.5561
671.7685,663.1045,-72.6753
-71.1373,856.0675,-93.7560
438.6932,717.1777,-68.2289
31.4022,818.1195,-85.7879
454.4151,707.3498,-72.4545
20.6670,817.1552,-81.4573
80.2426,796.7023,-80.8667
95.7926,791.4751,-86.0313
664.2594,641.0772,-65.1808
109.5916,780.0661,-80.9559
