id,region,area_ha,modulos_fiscales,clase_tamano,cobertura_forestal_2010_pct,biodiv_evitar_deforestacion,biodiv_evitar_perturbacion,biodiv_restauracion,carbono_evitar_deforestacion_mgc,carbono_evitar_perturbacion_mgc,carbono_restauracion_mgc,biodiv_evitar_deforestacion_por_ha,biodiv_evitar_perturbacion_por_ha,biodiv_restauracion_por_ha,carbono_evitar_deforestacion_mgc_por_ha,carbono_evitar_perturbacion_mgc_por_ha,carbono_restauracion_mgc_por_ha
94,Paragominas,14.814,0.269346,pequena,100.061,20.4917,33.6056,0,7821.27,2417.51,0,1.38326,2.2685,0,527.963,163.191,0
95,Paragominas,4590.33,83.4606,grande,59.5594,13.2668,0,0.131702,2773.74,0,0,0.00289015,0,2.86911e-05,0.604258,0,0
96,Paragominas,46.5295,0.845991,pequena,40.8668,8.31426,0.00201893,0.00484266,5789.25,0.162457,0,0.178688,4.33904e-05,0.000104077,124.421,0.00349147,0
97,Paragominas,781.591,14.2107,mediana,99.2376,17.591,0.0253292,0.152585,5793.37,103.942,0,0.0225066,3.24072e-05,0.000195223,7.41228,0.132987,0
98,Paragominas,268.714,4.88572,mediana,26.569,11.988,0,143.176,5347.87,0,33977.4,0.0446124,0,0.532819,19.9017,0,126.444
99,Paragominas,59.8595,1.08835,pequena,7.15896,9.55875,0,15.6914,2559.89,0,5969.96,0.159687,0,0.262138,42.765,0,99.733
100,Paragominas,200.355,3.64282,pequena,70.6141,206.604,1.99907,0,37270.2,560.13,0,1.03119,0.00997765,0,186.021,2.79569,0
101,Paragominas,925.604,16.8292,grande,69.4096,0,0,0.0881526,0,0,61.1183,0,0,9.5238e-05,0,0,0.0660307
102,Paragominas,1339.4,24.3528,grande,20.5269,30.7383,0,225.051,16807.7,0,115578,0.0229493,0,0.168023,12.5487,0,86.2903
103,Paragominas,22.7425,0.4135,pequena,4.71039,0,0.0430306,0.271846,0,0,214.702,0,0.00189208,0.0119532,0,0,9.44055
104,Paragominas,1.07788,0.0195978,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Paragominas,0.994657,0.0180847,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Paragominas,15.8678,0.288506,pequena,72.5791,7.20841,0,0,4698.23,0,0,0.454278,0,0,296.086,0,0
107,Paragominas,20.4102,0.371095,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Paragominas,12.8836,0.234248,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Paragominas,787.713,14.322,mediana,65.5738,44.9747,837.065,0,13236.9,59197.8,0,0.0570953,1.06265,0,16.8042,75.1515,0
110,Paragominas,45.1536,0.820974,pequena,2.56943,0.233503,0,10.3574,63.4818,0,7906.65,0.0051713,0,0.229381,1.40591,0,175.106
111,Paragominas,170.947,3.10813,pequena,9.2928,4.73353,3.02112,101.233,0,3.92889,19903.8,0.02769,0.0176728,0.592188,0,0.022983,116.432
112,Paragominas,1449.83,26.3605,grande,35.0807,33.6151,0,555.761,2556.27,0,114885,0.0231855,0,0.383329,1.76315,0,79.2405
113,Paragominas,355.665,6.46663,mediana,29.9771,1.23903,0.400461,146.875,0,37.9023,31654.8,0.0034837,0.00112595,0.412959,0,0.106567,89.0019
114,Paragominas,47.4209,0.862199,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Paragominas,100.149,1.82089,pequena,8.73961,0,7.06505,1.12685,0,333.859,1090.11,0,0.0705454,0.0112518,0,3.33362,10.8849
116,Paragominas,2.65117,0.0482031,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Paragominas,11.2736,0.204975,pequena,82.3752,8.19661,13.4508,0,4210.28,581.443,0,0.727059,1.19312,0,373.462,51.5754,0
118,Paragominas,47.6688,0.866706,pequena,90.2909,14.3499,160.248,0.00612631,8364.3,6335.96,0,0.301033,3.3617,0.000128518,175.467,132.916,0
119,Paragominas,27.7537,0.504612,pequena,59.2006,12.639,29.9934,0.000818849,5425.98,2316.39,0,0.455399,1.0807,2.95042e-05,195.505,83.4626,0
120,Paragominas,1495.56,27.1919,grande,38.0185,14.1105,1192.31,328.633,14367.3,97536.2,70171.5,0.00943496,0.797233,0.21974,9.60668,65.2173,46.92
121,Paragominas,174.783,3.17787,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Paragominas,424.386,7.71611,mediana,3.70246,0,0.00713808,197.504,0,0,87171.8,0,1.68198e-05,0.465388,0,0,205.407
123,Paragominas,32.7875,0.596136,pequena,56.6164,15.2473,0.934242,0.147917,7342.83,70.0024,218.946,0.465033,0.0284939,0.0045114,223.952,2.13503,6.67774
124,Paragominas,104.069,1.89216,pequena,57.028,16.1043,0,0,8934.62,132.875,93.1956,0.154747,0,0,85.853,1.2768,0.895519
125,Paragominas,22.5485,0.409972,pequena,83.1626,10.0312,46.9292,0,7870.7,3300.07,0,0.444875,2.08126,0,349.057,146.355,0
126,Paragominas,49.6364,0.902481,pequena,6.65234,1.82782,0,2.05879,1406.87,0,2142.49,0.0368241,0,0.0414775,28.3434,0,43.1637
127,Paragominas,11.4107,0.207468,pequena,17.9941,0,0.0378876,0.123819,0,0,138.295,0,0.00332035,0.0108511,0,0,12.1198
128,Paragominas,56.0478,1.01905,pequena,77.2687,28.5044,140.632,0,10786.1,13990.5,0,0.508572,2.50914,0,192.445,249.618,0
129,Paragominas,265.379,4.82507,mediana,21.9345,32.8029,1.09645,46.6253,14400.9,98.0151,35337.8,0.123608,0.00413165,0.175693,54.2653,0.36934,133.16
130,Paragominas,67.6846,1.23063,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Paragominas,212.987,3.8725,pequena,67.6577,11.156,0.0215952,0.105911,3610.65,2.33047,15.9518,0.0523789,0.000101392,0.000497263,16.9524,0.0109418,0.0748956
132,Paragominas,158.883,2.88879,pequena,34.84,7.67943,0,0.00130604,2047.33,3.15522,0,0.0483337,0,8.22011e-06,12.8858,0.0198587,0
133,Paragominas,266.289,4.84162,mediana,32.0869,12.8462,2.43085,21.5488,5091.64,54.0196,14794.3,0.0482417,0.00912861,0.0809225,19.1207,0.202861,55.5573
134,Paragominas,2321.1,42.2019,grande,44.8558,149.985,0,192.536,70480.6,0,51547.6,0.0646179,0,0.0829503,30.3651,0,22.2082
135,Paragominas,1465.81,26.6511,grande,91.1034,331.078,6021.9,0,103587,460946,0,0.225866,4.10823,0,70.6684,314.465,0
136,Paragominas,7.15948,0.130172,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Paragominas,51.0803,0.928732,pequena,3.14606,0.504859,0,0.379995,558.961,38.2972,421.972,0.00988365,0,0.00743918,10.9428,0.749745,8.26096
138,Paragominas,456.46,8.29928,mediana,67.3914,13.0628,0.727245,0.345842,2015.49,110.761,0,0.0286175,0.00159323,0.000757662,4.41547,0.242653,0
139,Paragominas,565.122,10.275,mediana,40.3239,282.422,205.598,116.912,79095.2,25895.6,32342.4,0.499754,0.363812,0.206879,139.961,45.823,57.2308
140,Paragominas,8.82652,0.160482,pequena,0,0,0.00177187,0,0,0,0,0,0.000200744,0,0,0,0
141,Paragominas,0.849827,0.0154514,pequena,0,0,0,0.0184531,0,0,43.5324,0,0,0.0217139,0,0,51.225
142,Paragominas,64.8914,1.17984,pequena,40.4582,9.05379,127.008,2.76561,6143.89,10642.3,2222.79,0.139522,1.95724,0.042619,94.6796,164.001,34.254
143,Paragominas,129.859,2.36107,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Paragominas,140.94,2.56254,pequena,4.37078,0.115461,0.00760825,0.0142116,0,0,0,0.000819221,5.39823e-05,0.000100835,0,0,0
145,Paragominas,101.645,1.84808,pequena,38.728,0.803,0,25.8391,59.0611,0,3722.61,0.00790008,0,0.25421,0.581055,0,36.6238
146,Paragominas,22.6245,0.411355,pequena,5.52252,0.112898,0,0,42.9716,0,0,0.00499006,0,0,1.89934,0,0
147,Paragominas,21.342,0.388036,pequena,15.4724,6.985,0,3.8653,1747.22,0,1029.82,0.327289,0,0.181112,81.8677,0,48.2533
148,Paragominas,48.6548,0.884632,pequena,1.10056,0.0107536,0.000327729,1.44834,0,0,1005.1,0.000221018,6.7358e-06,0.0297678,0,0,20.6578
149,Paragominas,10.2457,0.186286,pequena,60.1356,5.08422,3.72102,0,4139.94,130.884,0,0.496229,0.363179,0,404.066,12.7746,0
150,Paragominas,30.7028,0.558234,pequena,15.115,7.08055,0,3.62883,3175.64,0,3727.22,0.230615,0,0.118192,103.432,0,121.397
151,Paragominas,1098.01,19.9639,grande,99.6249,189.431,860.058,0.0221084,88244,125910,0,0.172522,0.783286,2.01349e-05,80.367,114.671,0
152,Paragominas,1270.56,23.1011,grande,93.8908,45.6349,79.2863,0.0185086,17771.3,12828.6,4.38157,0.0359172,0.0624027,1.45673e-05,13.987,10.0968,0.00344853
