especie_anon,grupo,n_registros,auc,metodo,area_distribucion_km2
SP_1104,arboles,13,1,SDM,7.85661e+06
SP_1105,aves,3,,UPFls,0.000710226
SP_1106,aves,4,,UPFls,0.000333855
SP_1107,aves,99,0.996715,SDM,0.000433317
SP_1108,arboles,26,0.997231,SDM,1.33403e+07
SP_1109,arboles,12,0.991667,SDM,7.64516e+06
SP_1110,arboles,24,1,SDM,7.39803e+06
SP_1111,arboles,12,1,SDM,8.32433e+06
SP_1112,arboles,6,,UPFls,9.21675e+06
SP_1113,arboles,18,0.99375,SDM,4.97153e+06
SP_1114,aves,42,0.968125,SDM,0.000441913
SP_1115,aves,40,1,SDM,0.000344911
SP_1116,arboles,4,,UPFls,6.25916e+06
SP_1117,arboles,15,0.992857,SDM,1.04676e+07
SP_1118,arboles,8,,UPFls,3.83267e+06
SP_1119,arboles,17,1,SDM,186691
SP_1120,arboles,1,,UPFls,1.12e+07
SP_1121,arboles,5,,UPFls,7.34569e+06
SP_1122,arboles,105,0.998347,SDM,1.05568e+07
SP_1123,arboles,3,,UPFls,8.57835e+06
SP_1124,arboles,1,,UPFls,6.5e+06
SP_1125,arboles,12,1,SDM,1.33856e+07
SP_1126,arboles,2,,UPFls,6.52724e+06
SP_1127,arboles,1,,UPFls,1.34e+07
SP_1128,arboles,12,1,SDM,6.31784e+06
SP_1129,arboles,37,0.943196,SDM,1.20955e+07
SP_1130,arboles,2,,UPFls,4.5199e+06
SP_1131,arboles,2,,UPFls,4.92e+06
SP_1132,arboles,3,,UPFls,7.12029e+06
SP_1133,aves,62,0.973789,SDM,0.000426339
SP_1134,aves,80,0.975614,SDM,0.000719612
SP_1135,aves,13,0.810714,SDM,0.000398338
SP_1136,aves,24,0.99375,SDM,8.21966e-05
SP_1137,aves,119,0.987432,SDM,0.000164395
SP_1138,aves,58,0.993307,SDM,8.11407e-05
SP_1139,arboles,18,0.989899,SDM,1.03033e+07
SP_1140,arboles,4,,UPFls,4.27199e+06
SP_1141,arboles,13,0.965179,SDM,1.44728e+07
SP_1142,arboles,64,0.983868,SDM,9.71813e+06
SP_1143,arboles,24,0.983333,SDM,9.20164e+06
SP_1144,arboles,37,0.950958,SDM,1.04487e+07
SP_1145,arboles,1,,UPFls,1.59e+07
SP_1146,arboles,3,,UPFls,9.56e+06
SP_1147,arboles,2,,UPFls,4.18836e+06
SP_1148,arboles,1,,UPFls,8.06601e+06
SP_1149,arboles,1,,UPFls,3.03e+06
SP_1150,aves,105,0.963317,SDM,0.000213238
SP_1151,arboles,22,0.9975,SDM,6.72656e+06
SP_1152,arboles,81,0.978935,SDM,9.47023e+06
SP_1153,arboles,16,0.992593,SDM,7.49182e+06
SP_1154,arboles,1,,UPFls,3.83267e+06
SP_1155,arboles,1,,UPFls,6.99e+06
SP_1156,arboles,1,,UPFls,1.15e+07
SP_1157,arboles,1,,UPFls,1.16e+07
