ecosystem,plotID,site,Tmean_GS_B_CRU,ThermGS05_abundance,ThermGSMedian_abundance,ThermGS95_abundance,debt_GSMedian_ab
forest,EU_006_18,EU_006,15.1400003,0.338041736,0.042269724,-0.086386696,0.02439693
forest,EU_006_19,EU_006,15.1400003,0.179645799,0.086389305,0.003447575,-0.019722651
forest,EU_006_2,EU_006,15.1400003,0.20144902,0.056395337,-0.050208994,0.010271317
forest,EU_006_20,EU_006,15.1400003,0.057360012,0.032127567,-0.011738743,0.034539087
forest,EU_006_21,EU_006,15.1400003,0.086802665,-0.051617677,-0.246277446,0.118284331
forest,EU_006_3,EU_006,15.1400003,-0.280017066,-0.032793912,0.089093661,0.099460566
forest,EU_006_4,EU_006,15.1400003,-0.294219745,-0.015121333,0.08645317,0.081787987
forest,EU_006_5,EU_006,15.1400003,-0.246279237,0.041401723,0.087353488,0.025264931
forest,EU_006_6,EU_006,15.1400003,0.02885728,0.006948049,0.050891845,0.059718605
forest,EU_006_7,EU_006,15.1400003,0.113676085,0.05346676,0.091059852,0.013199894
forest,EU_006_8,EU_006,15.1400003,0.200705158,0.077660399,-0.012550974,-0.010993745
forest,EU_006_9,EU_006,15.1400003,0.323296949,-0.001520942,-0.229611918,0.068187596
forest,EU_007_1,EU_007,13.64666691,-0.014289177,0.031788955,0.058385643,0.270294408
forest,EU_007_10,EU_007,13.64666691,0.050418809,0.018548907,0.003779557,0.283534456
forest,EU_007_11,EU_007,13.64666691,-0.173339242,-0.048790751,-0.055864187,0.350874114
forest,EU_007_12,EU_007,13.64666691,0.216820054,0.03622371,-0.01348803,0.265859653
forest,EU_007_13,EU_007,13.64666691,-0.202546394,-0.148865572,-0.034703092,0.450948935
forest,EU_007_14,EU_007,13.64666691,0.034072239,0.075713672,0.055426767,0.226369691
forest,EU_007_15,EU_007,13.64666691,-0.454074731,-0.050099354,0.116523343,0.352182717
forest,EU_007_16,EU_007,13.64666691,-0.009445153,-0.013858324,-0.005726569,0.315941687
forest,EU_007_17,EU_007,13.64666691,0.298259964,0.060824316,-0.09847713,0.241259047
forest,EU_007_18,EU_007,13.64666691,0.146208186,0.066742569,0.060783296,0.235340794
forest,EU_007_19,EU_007,13.64666691,0.418358079,0.067094784,-0.01047071,0.234988579
forest,EU_007_2,EU_007,13.64666691,-0.098233349,0.001572017,0.032936347,0.300511346
forest,EU_007_20,EU_007,13.64666691,-0.062609069,-0.126385592,-0.229519067,0.428468955
forest,EU_007_21,EU_007,13.64666691,-0.033521956,-0.113684101,-0.141681718,0.415767464
forest,EU_007_22,EU_007,13.64666691,0.369850006,-0.014113666,-0.160518881,0.316197029
forest,EU_007_23,EU_007,13.64666691,-0.196503664,-0.112319208,-0.074019252,0.414402571
forest,EU_007_24,EU_007,13.64666691,0.333261048,-0.000298,-0.106093135,0.302381363
forest,EU_007_25,EU_007,13.64666691,0.024516254,-0.049256668,-0.164089085,0.351340031
forest,EU_007_26,EU_007,13.64666691,-0.025478766,0.01514903,0.034632955,0.286934333
forest,EU_007_27,EU_007,13.64666691,0.364655167,-0.09222993,-0.30244104,0.394313293
forest,EU_007_28,EU_007,13.64666691,0.43597371,0.275409352,0.23016476,0.026674011
forest,EU_007_29,EU_007,13.64666691,0.438154064,0.080578204,-0.059797841,0.221505159
