year,gamma,surface_temp_C,deep_ocean_temp_C,heat_uptake_Wm2
2290,40,1.1463,0.7492,0.2677
2291,40,1.1463,0.7506,0.2667
2292,40,1.1463,0.752,0.2657
2293,40,1.1463,0.7535,0.2647
2294,40,1.1462,0.7549,0.2638
2295,40,1.1462,0.7563,0.2628
2296,40,1.1462,0.7577,0.2618
2297,40,1.1462,0.7591,0.2608
2298,40,1.1462,0.7605,0.2599
2299,40,1.1462,0.7619,0.2589
