subfigura,prueba,medida,direccion_mejora,grupo,mes,raton,valor
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,0,Cont5,8.69922
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,0,Cont6,8.39307
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,0,Cont7,8.10319
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,0,Cont8,10.8299
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,0,Cont9,5.43977
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,0,Cont10,9.44682
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,0,Sema1,8.71786
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,0,Sema2,8.55718
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,0,Sema3,13.423
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,0,Sema4,8.55229
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,0,Sema5,11.092
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,0,Sema6,8.80844
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,0,Sema7,7.68781
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,0,Sema8,7.68988
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,0,Sema9,6.41921
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,0,Sema10,7.57899
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest1,10.7085
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest2,8.88643
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest3,8.12934
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest4,8.08582
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest5,8.26248
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest6,8.30392
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest7,11.2269
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest8,11.076
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest9,8.33546
