analyst_id,paper_id,disciplina,experimental,d_original,d_reanalisis,conclusion,direccion
AWAEK,Andreoni_JournPoliEco_2017_La9x,economia,experimental,1.8477,2.146,misma,misma
5AV43,ANN_SLOCUM_Criminology_2010_JxXe,criminologia,observational,0.1165,0.374,misma,misma
JX7YO,Christensen_EurJournPersonality_2018_8R9d,psicologia,observational,2.9392,-0.273,misma,opuesta
GTZSD,Behrman_JournPoliEco_2015_G55r,economia,experimental,1.1708,0.33,misma,misma
UU5Y0,Brough_JournConsRes_2016_9ey,marketing,observational,0.9624,0.413,misma,misma
8XLM1,Bruner_ExpEco_2017_amYY,economia,experimental,1.0432,1.043,misma,misma
0ZI5H,Wilde_AmSocioRev_2010_4XLv,sociologia,observational,0.1053,-0.205,misma,opuesta
PUZAT,Rovny_WorldPolitics_2014_AQgj,ciencia_politica,observational,0.4736,0.456,misma,misma
9T4QV,Chen_Demography_2018_yAPR,sociologia,observational,0.0539,-0.081,opuesto,opuesta
R34JK,Cingranelli_BritJournPoliSci_2014_qg47,ciencia_politica,observational,0.1561,0.136,misma,misma
AKB1K,LINDQVIST_AmPoliSciRev_2010_OeGv,ciencia_politica,observational,1.2829,1.424,misma,misma
RQ146,PIETRYKA_AmPoliSciRev_2017_yjkQ,ciencia_politica,observational,0.1892,0.184,misma,misma
W1CVU,Cleave_ExpEco_2013_Njqj,economia,experimental,0.2137,0.027,misma,misma
Z3GMF,Barreca_JournPoliEco_2016_J999,economia,observational,1.1287,0.134,misma,misma
W0PKP,Goerg_JournLabEco_2010_WLpV,economia,experimental,0.3539,0.214,misma,misma
KDF9R,Grose_AmJourPoliSci_2015_E0Q3,ciencia_politica,experimental,0.5911,0.709,misma,misma
AB9D2,Baillon_Econometrica_2018_QYNq,economia,experimental,0.4288,0.43,misma,misma
ZO4S0,Axt_JournExpSocPsych_2018_zK2,psicologia,experimental,0.3958,0.802,misma,misma
DAA9C,McDevitt_JournPoliEco_2014_yQeR,economia,observational,0.2836,0.0,misma,misma
UDSRB,Bursztyn_AmEcoRev_2017_VB9K,economia,experimental,0.5826,0.164,sin_efecto,misma
DUQBC,Shahar_JournConflictRes_2018_J0Yv,ciencia_politica,observational,1.3913,,misma,misma
QH0FE,Mironova_JournExpPoliSci_2014_59Rq,ciencia_politica,experimental,0.9255,0.691,sin_efecto,misma
AHW5W,Zunick_JournExpSocPsych_2017_zlw,psicologia,experimental,0.6551,0.655,misma,misma
ZVGQ3,Brancati_JournConflictRes_2013_V0PA,ciencia_politica,observational,0.3869,0.3,sin_efecto,misma
PFQSU,Miller_JournConflictRes_2011_zV1O,ciencia_politica,observational,0.1388,-0.133,misma,opuesta
EZ87I,Linkenauger_PsychologSci_2009_7WjP,psicologia,observational,1.1349,0.855,misma,misma
PUZKT,Gerber_BritJournPoliSci_2018_3WmY,ciencia_politica,observational,0.3016,0.465,sin_efecto,misma
K88ZQ,Nyhan_JournExpPoliSci_2015_DEqr,ciencia_politica,experimental,0.3672,,misma,misma
L3B6J,Lu_JournLabEco_2015_vaWE,economia,experimental,1.6699,,misma,misma
5BSO9,Kleven_AmEcoRev_2013_Jg9v,economia,observational,1.2187,-0.768,misma,opuesta
SBHP9,Adida_CompPolitStu_2016_G0Kb,ciencia_politica,experimental,0.4418,0.481,misma,misma
T6S8L,Robertson_BritJournPoliSci_2017_qggQ,ciencia_politica,observational,0.1217,0.289,misma,misma
V6KLS,Clark_JournPoliEco_2009_e5rW,economia,observational,0.2361,0.245,misma,misma
YMESM,Cohen_AmEcoRev_2015_2lb5,economia,experimental,0.4076,0.316,misma,misma
T4682,Hertel_ClinPsychSci_2018_YabW,psicologia,experimental,0.719,1.188,misma,misma
T89FM,Anderson_AmEcoJourn_2011_bLe8,economia,observational,0.5746,-0.107,opuesto,opuesta
VT9O5,Shahar_JournConflictRes_2018_J0Yv,ciencia_politica,observational,1.3913,2.15,misma,misma
JFGFI,Andreoni_JournPoliEco_2017_La9x,economia,experimental,1.8477,0.814,misma,misma
YSAKF,Chen_Demography_2018_yAPR,sociologia,observational,0.0539,-0.0,sin_efecto,opuesta
P7RC1,PALER_AmPoliSciRev_2013_Pxp7,ciencia_politica,experimental,0.1252,0.125,misma,misma
9VCO6,Goerg_JournLabEco_2010_WLpV,economia,experimental,0.3539,,misma,misma
HRYMM,Behrman_JournPoliEco_2015_G55r,economia,experimental,1.1708,0.102,misma,misma
JVMP6,Dumas_AcaManageJourn_2018_5KrD,management,observational,0.2532,0.237,misma,misma
P9W8Y,Einstein_AmJourPoliSci_2017_mxyQ,ciencia_politica,experimental,0.3204,,sin_efecto,misma
U8SV5,Fehr_AmEcoRev_2011_gdlO,economia,experimental,3.9402,,misma,misma
5VQVG,Cleave_ExpEco_2013_Njqj,economia,experimental,0.2137,0.204,misma,misma
IFVKR,Robertson_BritJournPoliSci_2017_qggQ,ciencia_politica,observational,0.1217,0.343,misma,misma
QF34I,Woltin_JournExpSocPsych_2011_Wre,psicologia,experimental,0.8231,0.74,misma,misma
RXPB8,Angrist_AmEcoRev_2009_Gv3O,economia,experimental,0.0799,-0.027,sin_efecto,opuesta
FXONI,Altmann_JournLabEco_2012_WLkV,economia,experimental,0.4653,0.573,misma,misma
5SCN9,PIETRYKA_AmPoliSciRev_2017_yjkQ,ciencia_politica,observational,0.1892,,sin_efecto,misma
MDWBA,Wang_AmEcoJourn_2013_7d4J,economia,observational,0.0401,,sin_efecto,misma
MMLOE,Grose_AmJourPoliSci_2015_E0Q3,ciencia_politica,experimental,0.5911,,misma,misma
2XEYJ,Robertson_BritJournPoliSci_2017_qggQ,ciencia_politica,observational,0.1217,0.343,misma,misma
YOR9R,ANN_SLOCUM_Criminology_2010_JxXe,criminologia,observational,0.1165,0.313,misma,misma
W9XD2,Bigoni_Econometrica_2015_VBx1,economia,experimental,6.8581,0.306,sin_efecto,misma
E0EIN,Baker_WorldPolitics_2011_9lBL,ciencia_politica,observational,0.9622,,sin_efecto,misma
JRU4J,Anderson_AmEcoJourn_2011_bLe8,economia,observational,0.5746,0.435,misma,misma
CJQM7,Miller_JournConflictRes_2011_zV1O,ciencia_politica,observational,0.1388,0.206,misma,misma
PNJWU,Clark_JournPoliEco_2009_e5rW,economia,observational,0.2361,0.226,sin_efecto,misma
7KIXM,Baccara_AmEcoJourn_2014_RqVE,economia,observational,0.0091,0.008,misma,misma
5EDOR,Clark_JournPoliEco_2009_e5rW,economia,observational,0.2361,-0.038,sin_efecto,opuesta
S1LYK,Bigoni_Econometrica_2015_VBx1,economia,experimental,6.8581,0.051,misma,misma
81NTT,Baccara_AmEcoJourn_2014_RqVE,economia,observational,0.0091,0.151,misma,misma
