anio,clase_2y3,clase_3,clase_2,clase_1,series_con_crecida
1925,9,0,9,21,30
1926,17,11,6,33,50
1927,13,7,6,19,32
1928,10,1,9,19,29
1929,4,0,4,13,17
1930,8,3,5,15,23
1931,5,1,4,23,28
1932,13,3,10,24,37
1933,4,0,4,16,20
1934,9,5,4,12,21
1935,10,2,8,16,26
1936,12,0,12,9,21
1937,7,3,4,25,32
1938,8,2,6,14,22
1939,10,1,9,22,32
1940,23,6,17,30,53
1941,14,5,9,27,41
1942,8,1,7,13,21
1943,3,1,2,16,19
1944,12,4,8,20,32
1945,7,2,5,13,20
1946,7,1,6,14,21
1947,14,3,11,17,31
1948,11,3,8,18,29
1949,5,0,5,10,15
1950,7,0,7,5,12
1951,13,4,9,17,30
1952,4,0,4,12,16
1953,5,1,4,17,22
1954,8,3,5,15,23
1955,15,3,12,16,31
1956,7,3,4,14,21
1957,5,1,4,12,17
1958,8,1,7,21,29
1959,7,1,6,21,28
1960,4,1,3,17,21
1961,5,3,2,5,10
1962,4,2,2,17,21
1963,8,1,7,15,23
1964,6,1,5,15,21
1965,15,2,13,27,42
1966,19,5,14,27,46
1967,6,1,5,19,25
1968,5,1,4,16,21
1969,2,0,2,11,13
1970,15,7,8,18,33
1971,5,1,4,9,14
1972,1,1,0,10,11
1973,9,3,6,13,22
1974,7,0,7,9,16
1975,7,1,6,9,16
1976,5,1,4,11,16
1977,17,1,16,22,39
1978,9,3,6,16,25
1979,4,1,3,14,18
1980,10,4,6,18,28
1981,17,4,13,18,35
1982,15,5,10,20,35
1983,7,2,5,21,28
1984,5,1,4,9,14
1985,5,1,4,12,17
1986,3,0,3,15,18
1987,5,3,2,27,32
1988,7,1,6,12,19
1989,3,0,3,10,13
1990,5,0,5,8,13
1991,7,2,5,15,22
1992,4,0,4,14,18
1993,9,6,3,16,25
1994,11,2,9,17,28
1995,11,6,5,19,30
1996,5,2,3,14,19
1997,13,6,7,8,21
1998,12,2,10,11,23
1999,17,7,10,29,46
2000,14,5,9,21,35
2001,11,5,6,13,24
2002,19,9,10,16,35
2003,10,4,6,14,24
2004,7,4,3,14,21
2005,17,6,11,10,27
2006,6,3,3,15,21
2007,3,0,3,11,14
2008,2,1,1,6,8
2009,2,0,2,6,8
2010,12,2,10,15,27
2011,6,0,6,10,16
2012,0,0,0,4,4
2013,13,5,8,7,20
2014,4,2,2,8,12
