estado,pais,ibd_medio_cm,grupo_ancestria
Santa Rita,Guam,0.0316686116279358,All
Coahuila,Mexico,0.0315857476487802,All
Rio Grande,Puerto Rico,0.031560556541407,All
Lapland,Finland,0.0315396727430029,All
Salzburg,Austria,0.0315333270378594,All
Gia Lai,Vietnam,0.0314392947684913,All
Grevenmacher,Luxembourg,0.0314046770497269,All
ARMM,Philippines,0.0313510494717093,All
Mecklenburg-Vorpommern,Germany,0.0312731557444689,All
Atua,Samoa,0.0311053117225902,All
Los Santos,Panama,0.0310730264569164,All
Grisons,Switzerland,0.0309776409398317,All
Adjuntas,Puerto Rico,0.0309638741023778,All
Kuna Yala,Panama,0.0305294045273358,All
Gavleborg,Sweden,0.0305056114896417,All
Groningen,Netherlands,0.0304451062357058,All
Friesland,Netherlands,0.0304368703017435,All
Chihuahua,Mexico,0.0304209186354599,All
Viroviticko-Podravska,Croatia,0.030419736218943,All
Luton,United Kingdom,0.0303484420207992,All
Leova,Moldova,0.0303118169009942,All
Vasterbotten,Sweden,0.0302287449912299,All
Khon Kaen,Thailand,0.0301633363553394,All
Hokkaido,Japan,0.0301217860936658,All
Dalarna,Sweden,0.0300822107925305,All
Orocovis,Puerto Rico,0.0300449344688985,All
Ticino,Switzerland,0.0300438289743712,All
Vest-Agder,Norway,0.0299695675000664,All
Greater London,United Kingdom,0.0297960576607877,All
Grad Sofiya,Bulgaria,0.0296921197076152,All
Solothurn,Switzerland,0.0296360409111668,All
KwaZulu-Natal,South Africa,0.02963527035631,All
Sachsen,Germany,0.0296129425374302,All
Zealand,Denmark,0.0294633483779807,All
Midtjylland,Denmark,0.0294087193107475,All
Sogn og Fjordane,Norway,0.0293934257820901,All
Neuchatel,Switzerland,0.0293091097012799,All
Aust-Agder,Norway,0.0292927417876695,All
Falesti,Moldova,0.0292057581829134,All
Aargau,Switzerland,0.029068341319337,All
More og Romsdal,Norway,0.029043377739136,All
Covasna,Romania,0.028905170106408,All
Uri,Switzerland,0.0288943096402939,All
Manicaland,Zimbabwe,0.0288806771188888,All
Primorsko-Goranska,Croatia,0.0288591493809489,All
Uppsala,Sweden,0.0287770558194892,All
Basel-Landschaft,Switzerland,0.0287684535654712,All
Bocas del Toro,Panama,0.0287622841258814,All
Buskerud,Norway,0.0287385854017052,All
Oppland,Norway,0.0286865864656471,All
