depth_m,age_AD,CH4
111.265,1783.42,786.8
111.27,1783.39,786.3
111.275,1783.37,787
111.28,1783.35,788.6
111.285,1783.33,789
111.29,1783.3,789.6
111.296,1783.28,790.2
111.301,1783.26,791.1
111.306,1783.24,791.2
111.311,1783.22,791.3
111.316,1783.19,791.1
111.321,1783.17,790.2
111.326,1783.15,791.8
111.332,1783.13,790
111.337,1783.1,790.5
111.342,1783.08,788.3
111.347,1783.06,788.6
111.352,1783.04,787
111.357,1783.01,788.3
111.362,1782.99,788.6
111.367,1782.97,787.7
111.372,1782.95,788.5
111.377,1782.93,787.5
111.383,1782.91,788.8
111.388,1782.89,787.7
111.393,1782.87,788.1
111.398,1782.85,788.8
111.403,1782.83,788.6
111.408,1782.82,787.8
111.413,1782.8,788.3
111.418,1782.78,788.6
111.424,1782.76,788.3
