snapshot,variable,correlacion,rmse
11,vorticidad_zeta_sobre_f,0.7667889285378048,0.16887974739074707
11,divergencia_delta_sobre_f,0.11669272584177731,0.12325646728277206
11,deformacion_alpha_sobre_f,0.576071725977155,0.14871634542942047
11,u_m_s,0.9707501129685779,0.10369056463241577
11,v_m_s,0.969884810464063,0.12346736341714859
12,vorticidad_zeta_sobre_f,0.7707482724347283,0.1687414050102234
12,divergencia_delta_sobre_f,0.12575333988653845,0.12271001189947128
12,deformacion_alpha_sobre_f,0.5806633015505608,0.14965103566646576
12,u_m_s,0.9710529813548484,0.10796871781349182
12,v_m_s,0.9713990067315588,0.1155947670340538
13,vorticidad_zeta_sobre_f,0.7748343920811482,0.16975487768650055
13,divergencia_delta_sobre_f,0.13560376460781076,0.12102212011814117
13,deformacion_alpha_sobre_f,0.5861889363864783,0.1502077579498291
13,u_m_s,0.9717058198092184,0.10611830651760101
13,v_m_s,0.9724501742027263,0.10878652334213257
14,vorticidad_zeta_sobre_f,0.7764564560611074,0.17040829360485077
14,divergencia_delta_sobre_f,0.13463017639576286,0.11829298734664917
14,deformacion_alpha_sobre_f,0.58899915475438,0.14971283078193665
14,u_m_s,0.971313372196493,0.10385676473379135
14,v_m_s,0.9717373936007737,0.10646459460258484
15,vorticidad_zeta_sobre_f,0.7770186010491343,0.1689470410346985
15,divergencia_delta_sobre_f,0.12581092943196184,0.11544780433177948
15,deformacion_alpha_sobre_f,0.5907149596369837,0.14751572906970978
15,u_m_s,0.9708444512671512,0.10420925915241241
15,v_m_s,0.9697912021115452,0.1074405387043953
16,vorticidad_zeta_sobre_f,0.7782561921172202,0.1659618467092514
16,divergencia_delta_sobre_f,0.12228572261730808,0.11400225758552551
16,deformacion_alpha_sobre_f,0.5927045457333072,0.14429040253162384
16,u_m_s,0.9704077690481336,0.10799407213926315
16,v_m_s,0.968571147503914,0.10768720507621765
17,vorticidad_zeta_sobre_f,0.7780211678052676,0.16450949013233185
17,divergencia_delta_sobre_f,0.1263296419042196,0.11430983245372772
17,deformacion_alpha_sobre_f,0.5902637902232494,0.1426106095314026
17,u_m_s,0.9681650937024046,0.11517537385225296
17,v_m_s,0.9689202047280874,0.10502278059720993
18,vorticidad_zeta_sobre_f,0.77330375196902,0.1662755012512207
18,divergencia_delta_sobre_f,0.130303118287573,0.11515257507562637
18,deformacion_alpha_sobre_f,0.5797895581240179,0.14417967200279236
18,u_m_s,0.9649423600824311,0.12151606380939484
18,v_m_s,0.9697485344281581,0.10103257745504379
19,vorticidad_zeta_sobre_f,0.7661038734222224,0.16924802958965302
19,divergencia_delta_sobre_f,0.13459815416345977,0.1153336614370346
19,deformacion_alpha_sobre_f,0.5678390989989358,0.14741919934749603
19,u_m_s,0.9630358058837016,0.12253942340612411
19,v_m_s,0.970191664144649,0.09803959727287292
20,vorticidad_zeta_sobre_f,0.7615949317758689,0.17052580416202545
20,divergencia_delta_sobre_f,0.14202180172747572,0.11474169045686722
20,deformacion_alpha_sobre_f,0.5632265618253556,0.14952188730239868
20,u_m_s,0.9623394502357057,0.11873138695955276
20,v_m_s,0.9705372309434196,0.09621895104646683
21,vorticidad_zeta_sobre_f,0.7623978242835422,0.1693774163722992
