Species,disp,scenario,Lat50,Ele50
Sabazia multiradiata,Anemochor,15,-1.965,3.128
Eschweilera rufifolia,Zoochor,14,-6.113,6.356
Quercus subspathulata,Zoochor,16,0.752,3.47
Yucca schidigera,Zoochor,16,2.025,2.589
Solanum jucundum,Autochor,2,-1.725,5.278
Socratea rostrata,Zoochor,4,-8.173,4.491
Melampodium paniculatum,Zoochor,16,-0.583,4.058
Angophora costata,Anemochor,12,0.219,3.84
Ficus armitii,Zoochor,3,-12.803,5.167
Crataegus aquacervensis,Zoochor,6,0.274,1.162
Hyparrhenia anamesa,Autochor,5,-0.374,3.799
Bertya rosmarinifolia,Zoochor,2,0.08,2.739
Astragalus idrietorum,Nautochor,12,5.646,4.748
Coptis laciniata,Zoochor,8,0.162,1.301
Lactuca orientalis,Zoochor,3,6.342,0.856
Ambrosia tomentosa,Hemerochor,14,0.419,2.994
Actephila sessilifolia,Autochor,9,2.073,2.779
Wahlenbergia annularis,Anemochor,9,0.414,3.045
Sorghum intrans,Zoochor,3,-1.921,8.225
Arcytophyllum capitatum,Anemochor,8,0.124,2.925
Guettarda platypoda,Zoochor,12,-0.057,5.058
Solanum stenandrum,Autochor,11,-2.16,3.31
Medinilla viguieri,Anemochor,16,-2.094,3.531
Melica scabrosa,Anemochor,2,0.548,1.392
Nicotiana quadrivalvis,Anemochor,16,1.132,2.66
Castilleja campestris,Anemochor,10,0.845,2.805
Androsace rigida,Anemochor,2,-0.821,1.552
Porophyllum scoparium,Anemochor,4,5.391,3.802
Heliotropium foliosissimum,Autochor,16,1.014,3.794
Xylophragma seemannianum,Anemochor,7,1.528,6.437
Xylopia spruceana,Zoochor,7,-19.713,6.965
Cuphea hookeriana,Autochor,5,-2.134,2.813
Gentianothamnus madagascariensis,Anemochor,1,-0.374,2.907
Geranium albiflorum,Autochor,14,0.025,0.398
Goodenia virgata,Zoochor,14,6.193,5.755
Haplophyton crooksii,Zoochor,11,3.908,3.113
Rothmannia whitfieldii,Zoochor,11,1.086,5.742
Caloncoba welwitschii,Zoochor,12,4.824,6.235
Litsea connorsii,Zoochor,3,22.544,3.432
Asclepias brachystephana,Anemochor,9,1.058,2.992
Eremophila bowmanii,Zoochor,8,17.431,6.945
Chaetostoma selagineum,Autochor,15,-3.065,4.645
Buchnera reducta,Autochor,15,0.543,4.59
Cordia cylindrostachya,Autochor,13,1.663,3.408
Pentabrachion reticulatum,Zoochor,16,2.327,5.412
Peritassa hatschbachii,Zoochor,5,1.543,4.525
Renealmia thyrsoidea,Zoochor,2,-5.835,5.65
Begonia angustiloba,Autochor,2,0.109,3.317
Leucadendron comosum,Anemochor,7,0.455,2.851
Phebalium lowanense,Autochor,8,2.826,5.321
Robbrechtia grandifolia,Autochor,11,-12.039,3.174
Quiina cruegeriana,Zoochor,11,-6.127,5.683
Viola obtusa,Zoochor,15,2.613,2.326
Capillipedium spicigerum,Anemochor,10,0.181,3.648
Elatostema macintyrei,Zoochor,3,8.447,4.419
Solanum violaceum,Autochor,15,3.28,3.641
Serjania inscripta,Anemochor,15,0.106,7.01
Eschweilera aguilarii,Zoochor,5,-4.223,3.242
Drosera microphylla,Autochor,16,-1.089,5.148
Jatropha macrorhiza,Autochor,4,-0.557,3.104
Lophostemon suaveolens,Nautochor,12,-1.194,4.532
Phyllanthus subemarginatus,Autochor,14,-0.642,3.036
Hymenophyllum villosum,Anemochor,11,-2.884,4.638
Ctenium chapadense,Anemochor,1,2.367,4.153
Podocarpus novae-caledoniae,Zoochor,2,6.082,3.582
Melica imperfecta,Anemochor,2,2.225,2.472
Nidularium marigoi,Anemochor,12,5.024,3.136
Paropsia humblotii,Zoochor,7,-7.179,3.668
Iris domestica,Autochor,13,5.204,2.329
Oedera capensis,Anemochor,8,0.672,3.722
Saussurea americana,Anemochor,12,-0.912,-1.555
Psychotria geophylax,Zoochor,3,-17.419,4.765
Psychotria holtzii,Zoochor,7,5.417,6.824
Lasiacis oaxacensis,Anemochor,7,-1.44,4.465
Besleria aggregata,Zoochor,5,-7.044,5.406
Tillandsia biflora,Anemochor,1,-17.492,3.34
Eucalyptus urnigera,Anemochor,13,-1.546,3.362
Eucalyptus glaucina,Anemochor,14,-1.179,3.145
Croton tricolor,Autochor,7,1.376,4.558
Tillandsia streptophylla,Anemochor,8,0.769,7.058
Abutilon otocarpum,Anemochor,15,9.168,6.235
Salvia elegans,Autochor,9,-0.785,2.93
Cardamine microphylla,Autochor,7,-1.285,-13.766
Helictochloa murcica,Zoochor,2,1.6,2.761
Critonia hospitalis,Anemochor,3,-0.02,4.956
Chaetocarpus africanus,Zoochor,9,-0.513,4.699
Pulicaria vulgaris,Nautochor,13,0.054,4.876
Cryptocarya gracilis,Zoochor,12,1.847,4.212
Sicyos galeottii,Zoochor,3,0.264,4.275
Drypetes capuronii,Autochor,7,-2.936,4.22
Blandfordia grandiflora,Autochor,5,-0.309,3.313
Rhodostemonodaphne crenaticupula,Zoochor,13,-3.665,5.138
Sanguisorba filiformis,Autochor,2,12.475,1.911
Veronica eriogyne,Zoochor,12,2.126,-0.232
Medusantha martiusii,Autochor,15,0.212,3.571
Eriogonum novonudum,Anemochor,8,10.359,0.293
Linum flagellare,Anemochor,1,0.711,2.836
Triteleia crocea,Anemochor,8,0.134,1.532
Cheilanthes wrightii,Anemochor,5,6.362,2.322
Scleria depressa,Autochor,6,-3.368,5.555
Sesbania cannabina,Autochor,15,5.353,5.969
Mandevilla hirsuta,Anemochor,10,1.002,4.795
Plantago major,Zoochor,4,-4.425,3.06
Allium forrestii,Anemochor,12,-2.316,0.708
Heliconia episcopalis,Zoochor,3,2.961,7.31
Nemacladus rigidus,Autochor,7,-0.769,1.06
Melicope vitiflora,Autochor,16,-7.768,4.522
Vachellia cornigera,Anemochor,12,1.183,6.395
Sarcopyramis napalensis,Autochor,12,0.3,2.352
Echinolaena gracilis,Autochor,9,0.6,4.884
Hypericum sampsonii,Zoochor,14,3.148,2.478
Terminalia virens,Anemochor,14,-11.47,5.78
Corynephorus fasciculatus,Autochor,4,0.923,2.882
