sample_id,phase,phase_confidence,sex,family_id,mito_haplogroup,y_haplogroup,avg_age_cal_bc
BUR284,Unknown,Low,XY,unrelated,X2c1,I2a1b1,"=IFERROR(-VLOOKUP(A116,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR285,2,High,XY,pedigree_2.A,H,I2a1a1,"=IFERROR(-VLOOKUP(A117,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR286,1,High,XY,unrelated,U5b2b,I2a1a1,"=IFERROR(-VLOOKUP(A118,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR287,2,Medium,XY,no_data,H2a2a,,"=IFERROR(-VLOOKUP(A119,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR288,1,High,XY,pedigree_1.B,J1c3,I2a1a2,"=IFERROR(-VLOOKUP(A120,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR289,1,High,XX,pedigree_1.B,J1c3,,"=IFERROR(-VLOOKUP(A121,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR290,1,High,XY,pedigree_1.D,H7d,I2a1a2,"=IFERROR(-VLOOKUP(A122,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR291,1,High,XY,pedigree_1.A,J2b1a2,H2a1,"=IFERROR(-VLOOKUP(A123,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR292,2,High,XY,pedigree_2.C,H7d,I2a1a1,"=IFERROR(-VLOOKUP(A124,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR293,2,High,XX,pedigree_2.F,H1e,,"=IFERROR(-VLOOKUP(A125,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR294,2,Medium,Not Assigned,no_data,K1a4a1e,,"=IFERROR(-VLOOKUP(A126,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR295,Unknown,Low,XY,unrelated,K1a2c,I2a1a1,"=IFERROR(-VLOOKUP(A127,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR296,1,Medium,XX,no_data,T2,,"=IFERROR(-VLOOKUP(A128,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR297,2,High,XY,unrelated,K1a1,I2a1a1,"=IFERROR(-VLOOKUP(A129,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR298,1,High,XX,pedigree_1.A,J2b1a2,,"=IFERROR(-VLOOKUP(A130,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
