modelo,tipo_top,familia,presion_pa,presion_hpa,tendencia_k_decada
MIROC6,high-top,CMIP6,25000.0,250.0,0.2788638537108887
MIROC6,high-top,CMIP6,20000.0,200.0,0.17162122168032742
MIROC6,high-top,CMIP6,15000.0,150.0,0.08545589832182314
MIROC6,high-top,CMIP6,10000.0,100.0,0.004400862189480468
MIROC6,high-top,CMIP6,7000.0,70.0,-0.2103716329965166
MIROC6,high-top,CMIP6,5000.0,50.0,-0.36801495176346505
MIROC6,high-top,CMIP6,3000.0,30.0,-0.46045201539134
MIROC6,high-top,CMIP6,2000.0,20.0,-0.44217911949630345
MIROC6,high-top,CMIP6,1000.0,10.0,-0.5805311463981853
MIROC6,high-top,CMIP6,500.0,5.0,-0.6649990356253881
MIROC6,high-top,CMIP6,100.0,1.0,-0.9231546966614752
ACCESS-ESM1-5,low-top,CMIP6,100000.0,1000.0,0.2654716247011085
ACCESS-ESM1-5,low-top,CMIP6,92500.0,925.0,0.31672374367846484
ACCESS-ESM1-5,low-top,CMIP6,85000.0,850.0,0.3262195822310177
ACCESS-ESM1-5,low-top,CMIP6,70000.0,700.0,0.33547501839758326
ACCESS-ESM1-5,low-top,CMIP6,60000.0,600.0,0.3466489110248796
ACCESS-ESM1-5,low-top,CMIP6,50000.0,500.0,0.36307261239542543
ACCESS-ESM1-5,low-top,CMIP6,40000.0,400.0,0.4026626294093522
ACCESS-ESM1-5,low-top,CMIP6,30000.0,300.0,0.41022227573999337
ACCESS-ESM1-5,low-top,CMIP6,25000.0,250.0,0.3580596353417079
ACCESS-ESM1-5,low-top,CMIP6,20000.0,200.0,0.22389044065827204
ACCESS-ESM1-5,low-top,CMIP6,15000.0,150.0,0.13363855353022067
ACCESS-ESM1-5,low-top,CMIP6,10000.0,100.0,-0.026628120894196507
ACCESS-ESM1-5,low-top,CMIP6,7000.0,70.0,-0.3262187775008004
ACCESS-ESM1-5,low-top,CMIP6,5000.0,50.0,-0.4354814978911867
ACCESS-ESM1-5,low-top,CMIP6,3000.0,30.0,-0.39871856153885477
ACCESS-ESM1-5,low-top,CMIP6,2000.0,20.0,-0.38725505526535187
ACCESS-ESM1-5,low-top,CMIP6,1000.0,10.0,-0.46469556670067547
ACCESS-ESM1-5,low-top,CMIP6,500.0,5.0,-0.6428190229949888
ACCESS-ESM1-5,low-top,CMIP6,100.0,1.0,-0.7092243233820845
BCC-CSM2-MR,low-top,CMIP6,100000.0,1000.0,0.20227251240012462
BCC-CSM2-MR,low-top,CMIP6,92500.0,925.0,0.19987654322315968
BCC-CSM2-MR,low-top,CMIP6,85000.0,850.0,0.20288435321129947
BCC-CSM2-MR,low-top,CMIP6,70000.0,700.0,0.2249220440442506
BCC-CSM2-MR,low-top,CMIP6,60000.0,600.0,0.2384951315116313
BCC-CSM2-MR,low-top,CMIP6,50000.0,500.0,0.25707894414094157
BCC-CSM2-MR,low-top,CMIP6,40000.0,400.0,0.2739080377719822
BCC-CSM2-MR,low-top,CMIP6,30000.0,300.0,0.2614500588274532
BCC-CSM2-MR,low-top,CMIP6,25000.0,250.0,0.1958367338713568
BCC-CSM2-MR,low-top,CMIP6,20000.0,200.0,0.039274292383866156
BCC-CSM2-MR,low-top,CMIP6,15000.0,150.0,-0.03399260050160251
BCC-CSM2-MR,low-top,CMIP6,10000.0,100.0,-0.11579278233540304
BCC-CSM2-MR,low-top,CMIP6,7000.0,70.0,-0.39944062866281244
BCC-CSM2-MR,low-top,CMIP6,5000.0,50.0,-0.551198733639018
BCC-CSM2-MR,low-top,CMIP6,3000.0,30.0,-0.504316981838996
BCC-CSM2-MR,low-top,CMIP6,2000.0,20.0,-0.46985106845046987
BCC-CSM2-MR,low-top,CMIP6,1000.0,10.0,-0.4926352773259124
BCC-CSM2-MR,low-top,CMIP6,500.0,5.0,-0.575841130811108
BCC-CSM2-MR,low-top,CMIP6,100.0,1.0,-0.72072712991127
CanESM5,low-top,CMIP6,100000.0,1000.0,0.33307656721011747
CanESM5,low-top,CMIP6,92500.0,925.0,0.33885315179704223
CanESM5,low-top,CMIP6,85000.0,850.0,0.3640900004726108
CanESM5,low-top,CMIP6,70000.0,700.0,0.3935198836526319
CanESM5,low-top,CMIP6,60000.0,600.0,0.4090111582117611
CanESM5,low-top,CMIP6,50000.0,500.0,0.43403649892262
CanESM5,low-top,CMIP6,40000.0,400.0,0.4804446674776667
CanESM5,low-top,CMIP6,30000.0,300.0,0.5239684805271689
CanESM5,low-top,CMIP6,25000.0,250.0,0.5026665133521139
CanESM5,low-top,CMIP6,20000.0,200.0,0.3727131848649382
CanESM5,low-top,CMIP6,15000.0,150.0,0.22874283667400985
CanESM5,low-top,CMIP6,10000.0,100.0,0.07633839850572964
CanESM5,low-top,CMIP6,7000.0,70.0,-0.18725641024609196
