numero_onda_cm1,irf_w_m2_cm,erf_w_m2_cm
2493.8154240546896,-3.6995800426888804e-06,-3.702720667423463e-06
2500.143742179632,-2.6553894852850155e-06,-2.6621355557627856e-06
2506.472060304575,-3.034335527464466e-06,-3.0449379024924356e-06
2512.8003784295174,-2.7988169065227357e-06,-2.8011514806923212e-06
2519.1286965544605,-2.2580918092098374e-06,-2.2671753571066333e-06
2525.4570146794035,-1.654456787715463e-06,-1.658490972885615e-06
2531.785332804346,-1.1069127720162712e-06,-1.1073709847964125e-06
2538.1136509292887,-8.840173358481183e-07,-8.843737998720315e-07
2544.4419690542313,-7.134380147398302e-07,-7.137053840654463e-07
2550.7702871791744,-5.995930463084586e-07,-5.9980055418155e-07
2557.0986053041174,-5.170443161553986e-07,-5.171966482099678e-07
2563.42692342906,-4.2722451953177905e-07,-4.272765647523155e-07
2569.7552415540026,-3.914964277122601e-07,-3.9154849161807085e-07
2576.083559678945,-3.6274793313725275e-07,-3.62425235729863e-07
2582.4118778038883,-4.113335445971292e-07,-4.114807267657901e-07
2588.740195928831,-6.707877446020969e-07,-6.719005510699387e-07
2595.068514053774,-1.1854685761324373e-06,-1.1924425894701162e-06
2601.3968321787165,-1.3605406489830616e-06,-1.3618812177953817e-06
2607.725150303659,-1.3093528854608245e-06,-1.3164286405510588e-06
2614.053468428602,-5.79646367170143e-07,-5.81535165793836e-07
2620.381786553545,-1.1091507731981972e-06,-1.1130439339786314e-06
2626.710104678488,-1.4476139551926742e-06,-1.453189500896553e-06
2633.0384228034304,-1.1484187063935245e-06,-1.154214575436317e-06
2639.366740928373,-4.0239537003825983e-07,-4.038037392936722e-07
2645.695059053316,-2.3807934274902474e-07,-2.378113340362012e-07
2652.0233771782587,-1.3655717323099426e-07,-1.3663106969270597e-07
2658.3516953032017,-9.863487691082166e-08,-9.89328768804512e-08
2664.6800134281443,-6.688713301119808e-08,-6.663131060509725e-08
2671.008331553087,-5.2748207682303e-08,-5.272122042664838e-08
2677.33664967803,-3.6887656083137186e-08,-3.6766191633075566e-08
2683.664967802973,-3.738530115590424e-08,-3.704981078013128e-08
2689.9932859279156,-3.3618109899485306e-08,-3.409137914805135e-08
2696.321604052858,-2.9348434064433054e-08,-2.98915714014933e-08
2702.649922177801,-2.7820320532326825e-08,-2.7965935593375736e-08
2708.978240302744,-2.357175243651743e-08,-2.3459816896934663e-08
2715.3065584276865,-2.03496422039602e-08,-2.058448662912918e-08
