id,Distribution,Upper,Weight,n_languages
tight weibull weighted,weibull,tight,weighted,2888.0
tight weibull weighted,weibull,tight,weighted,2956.0
tight weibull weighted,weibull,tight,weighted,3023.0
tight weibull weighted,weibull,tight,weighted,3087.0
tight weibull weighted,weibull,tight,weighted,3206.0
tight weibull weighted,weibull,tight,weighted,3107.0
tight weibull weighted,weibull,tight,weighted,3230.0
tight weibull weighted,weibull,tight,weighted,3473.0
tight weibull weighted,weibull,tight,weighted,3505.0
tight weibull weighted,weibull,tight,weighted,3470.0
tight weibull weighted,weibull,tight,weighted,3507.0
tight weibull weighted,weibull,tight,weighted,3583.0
tight weibull weighted,weibull,tight,weighted,3634.0
tight weibull weighted,weibull,tight,weighted,3773.0
tight weibull weighted,weibull,tight,weighted,3821.0
tight weibull weighted,weibull,tight,weighted,3958.0
tight weibull weighted,weibull,tight,weighted,3800.0
tight weibull weighted,weibull,tight,weighted,3991.0
tight weibull weighted,weibull,tight,weighted,4076.0
tight weibull weighted,weibull,tight,weighted,4198.0
tight weibull weighted,weibull,tight,weighted,4166.0
tight weibull weighted,weibull,tight,weighted,4244.0
tight weibull weighted,weibull,tight,weighted,4368.0
tight weibull weighted,weibull,tight,weighted,4481.0
tight weibull weighted,weibull,tight,weighted,4560.0
tight weibull weighted,weibull,tight,weighted,4624.0
tight weibull weighted,weibull,tight,weighted,4635.0
tight weibull weighted,weibull,tight,weighted,2882.0
tight weibull weighted,weibull,tight,weighted,2856.0
tight weibull weighted,weibull,tight,weighted,2939.0
tight weibull weighted,weibull,tight,weighted,3136.0
tight weibull weighted,weibull,tight,weighted,3111.0
tight weibull weighted,weibull,tight,weighted,3241.0
tight weibull weighted,weibull,tight,weighted,3280.0
tight weibull weighted,weibull,tight,weighted,3315.0
tight weibull weighted,weibull,tight,weighted,3450.0
tight weibull weighted,weibull,tight,weighted,3417.0
tight weibull weighted,weibull,tight,weighted,3448.0
tight weibull weighted,weibull,tight,weighted,3488.0
tight weibull weighted,weibull,tight,weighted,3588.0
tight weibull weighted,weibull,tight,weighted,3728.0
tight weibull weighted,weibull,tight,weighted,3798.0
tight weibull weighted,weibull,tight,weighted,3799.0
tight weibull weighted,weibull,tight,weighted,3990.0
tight weibull weighted,weibull,tight,weighted,4032.0
tight weibull weighted,weibull,tight,weighted,4109.0
tight weibull weighted,weibull,tight,weighted,4144.0
tight weibull weighted,weibull,tight,weighted,4108.0
tight weibull weighted,weibull,tight,weighted,4245.0
tight weibull weighted,weibull,tight,weighted,4243.0
tight weibull weighted,weibull,tight,weighted,4264.0
tight weibull weighted,weibull,tight,weighted,4465.0
tight weibull weighted,weibull,tight,weighted,4559.0
tight weibull weighted,weibull,tight,weighted,4468.0
tight weibull weighted,weibull,tight,weighted,2913.0
tight weibull weighted,weibull,tight,weighted,2943.0
tight weibull weighted,weibull,tight,weighted,3116.0
tight weibull weighted,weibull,tight,weighted,3107.0
tight weibull weighted,weibull,tight,weighted,3153.0
tight weibull weighted,weibull,tight,weighted,3325.0
tight weibull weighted,weibull,tight,weighted,3298.0
tight weibull weighted,weibull,tight,weighted,3375.0
tight weibull weighted,weibull,tight,weighted,3253.0
tight weibull weighted,weibull,tight,weighted,3417.0
tight weibull weighted,weibull,tight,weighted,3550.0
tight weibull weighted,weibull,tight,weighted,3563.0
tight weibull weighted,weibull,tight,weighted,3866.0
tight weibull weighted,weibull,tight,weighted,3700.0
tight weibull weighted,weibull,tight,weighted,3932.0
tight weibull weighted,weibull,tight,weighted,3862.0
tight weibull weighted,weibull,tight,weighted,3980.0
tight weibull weighted,weibull,tight,weighted,4026.0
tight weibull weighted,weibull,tight,weighted,4135.0
tight weibull weighted,weibull,tight,weighted,4268.0
tight weibull weighted,weibull,tight,weighted,4191.0
tight weibull weighted,weibull,tight,weighted,4374.0
tight weibull weighted,weibull,tight,weighted,4378.0
tight weibull weighted,weibull,tight,weighted,4364.0
tight weibull weighted,weibull,tight,weighted,4518.0
tight weibull weighted,weibull,tight,weighted,4477.0
tight weibull weighted,weibull,tight,weighted,4609.0
tight weibull weighted,weibull,tight,weighted,3337.0
tight weibull weighted,weibull,tight,weighted,3317.0
tight weibull weighted,weibull,tight,weighted,3497.0
tight weibull weighted,weibull,tight,weighted,3556.0
tight weibull weighted,weibull,tight,weighted,3649.0
tight weibull weighted,weibull,tight,weighted,3532.0
tight weibull weighted,weibull,tight,weighted,3660.0
tight weibull weighted,weibull,tight,weighted,3740.0
tight weibull weighted,weibull,tight,weighted,3910.0
tight weibull weighted,weibull,tight,weighted,3986.0
tight weibull weighted,weibull,tight,weighted,4137.0
tight weibull weighted,weibull,tight,weighted,4255.0
tight weibull weighted,weibull,tight,weighted,4077.0
tight weibull weighted,weibull,tight,weighted,4263.0
tight weibull weighted,weibull,tight,weighted,4365.0
tight weibull weighted,weibull,tight,weighted,4417.0
tight weibull weighted,weibull,tight,weighted,4367.0
tight weibull weighted,weibull,tight,weighted,4587.0
tight weibull weighted,weibull,tight,weighted,4576.0
tight weibull weighted,weibull,tight,weighted,4589.0
tight weibull weighted,weibull,tight,weighted,4722.0
tight weibull weighted,weibull,tight,weighted,4965.0
tight weibull weighted,weibull,tight,weighted,4920.0
tight weibull weighted,weibull,tight,weighted,4879.0
tight weibull weighted,weibull,tight,weighted,5063.0
tight weibull weighted,weibull,tight,weighted,5127.0
tight weibull weighted,weibull,tight,weighted,5312.0
tight weibull weighted,weibull,tight,weighted,3356.0
tight weibull weighted,weibull,tight,weighted,3482.0
tight weibull weighted,weibull,tight,weighted,3487.0
tight weibull weighted,weibull,tight,weighted,3617.0
tight weibull weighted,weibull,tight,weighted,3617.0
tight weibull weighted,weibull,tight,weighted,3750.0
tight weibull weighted,weibull,tight,weighted,3802.0
tight weibull weighted,weibull,tight,weighted,3925.0
tight weibull weighted,weibull,tight,weighted,3934.0
tight weibull weighted,weibull,tight,weighted,4054.0
tight weibull weighted,weibull,tight,weighted,4181.0
tight weibull weighted,weibull,tight,weighted,4141.0
tight weibull weighted,weibull,tight,weighted,4436.0
tight weibull weighted,weibull,tight,weighted,4309.0
tight weibull weighted,weibull,tight,weighted,4363.0
tight weibull weighted,weibull,tight,weighted,4433.0
tight weibull weighted,weibull,tight,weighted,4566.0
tight weibull weighted,weibull,tight,weighted,4848.0
tight weibull weighted,weibull,tight,weighted,4782.0
tight weibull weighted,weibull,tight,weighted,4852.0
tight weibull weighted,weibull,tight,weighted,4902.0
tight weibull weighted,weibull,tight,weighted,5026.0
tight weibull weighted,weibull,tight,weighted,5092.0
tight weibull weighted,weibull,tight,weighted,5172.0
tight weibull weighted,weibull,tight,weighted,5195.0
tight weibull weighted,weibull,tight,weighted,5444.0
tight weibull weighted,weibull,tight,weighted,5296.0
tight weibull weighted,weibull,tight,weighted,3171.0
tight weibull weighted,weibull,tight,weighted,3149.0
tight weibull weighted,weibull,tight,weighted,3332.0
tight weibull weighted,weibull,tight,weighted,3284.0
tight weibull weighted,weibull,tight,weighted,3456.0
tight weibull weighted,weibull,tight,weighted,3534.0
tight weibull weighted,weibull,tight,weighted,3442.0
tight weibull weighted,weibull,tight,weighted,3611.0
tight weibull weighted,weibull,tight,weighted,3659.0
tight weibull weighted,weibull,tight,weighted,3694.0
tight weibull weighted,weibull,tight,weighted,3721.0
tight weibull weighted,weibull,tight,weighted,3833.0
tight weibull weighted,weibull,tight,weighted,3973.0
tight weibull weighted,weibull,tight,weighted,4171.0
tight weibull weighted,weibull,tight,weighted,4205.0
tight weibull weighted,weibull,tight,weighted,4180.0
tight weibull weighted,weibull,tight,weighted,4287.0
tight weibull weighted,weibull,tight,weighted,4353.0
tight weibull weighted,weibull,tight,weighted,4450.0
tight weibull weighted,weibull,tight,weighted,4471.0
tight weibull weighted,weibull,tight,weighted,4634.0
tight weibull weighted,weibull,tight,weighted,4648.0
tight weibull weighted,weibull,tight,weighted,4844.0
tight weibull weighted,weibull,tight,weighted,4705.0
tight weibull weighted,weibull,tight,weighted,4701.0
tight weibull weighted,weibull,tight,weighted,5068.0
tight weibull weighted,weibull,tight,weighted,5069.0
tight weibull weighted,weibull,tight,weighted,3163.0
tight weibull weighted,weibull,tight,weighted,3211.0
tight weibull weighted,weibull,tight,weighted,3279.0
tight weibull weighted,weibull,tight,weighted,3355.0
tight weibull weighted,weibull,tight,weighted,3367.0
tight weibull weighted,weibull,tight,weighted,3528.0
tight weibull weighted,weibull,tight,weighted,3516.0
tight weibull weighted,weibull,tight,weighted,3549.0
tight weibull weighted,weibull,tight,weighted,3610.0
tight weibull weighted,weibull,tight,weighted,3720.0
tight weibull weighted,weibull,tight,weighted,3882.0
tight weibull weighted,weibull,tight,weighted,3918.0
tight weibull weighted,weibull,tight,weighted,4020.0
tight weibull weighted,weibull,tight,weighted,3945.0
tight weibull weighted,weibull,tight,weighted,3958.0
