tipo_medida,unidad,poblacion,indicador,media,ic95_inf,ic95_sup
transactional,binary,clientas_banco,Communication/Audiovisual/Repair,0.0148101131915794,0.0131833252212056,0.016634258763354
transactional,binary,clientes_banco,Communication/Internet/Other,0.0938139461671651,0.0897555850323596,0.0980360452472411
transactional,binary,clientas_banco,Communication/Internet/Other,0.0961599492224691,0.0920388804960283,0.100445126899159
transactional,binary,clientes_banco,Communication/Mobile Phone/Other,0.547825174458261,0.540750025228616,0.554881047349312
transactional,binary,clientas_banco,Communication/Mobile Phone/Other,0.551941182693325,0.544842472045647,0.559018788608437
transactional,binary,clientes_banco,Communication/Multi Media Service/Other,0.636444724277244,0.629588509391354,0.643245943706912
transactional,binary,clientas_banco,Communication/Multi Media Service/Other,0.624986776684651,0.618060869721152,0.6318618988505
transactional,binary,clientes_banco,Communication/Other/Other,0.183377931685818,0.177947700669686,0.188935785547712
transactional,binary,clientas_banco,Communication/Other/Other,0.173013858034486,0.167688261002789,0.17847232264498
transactional,binary,clientes_banco,Financial Services/Assurance/Other,0.120520489007818,0.115974317671912,0.125219626614403
transactional,binary,clientas_banco,Financial Services/Assurance/Other,0.114143658097958,0.109688771656134,0.118755341140019
transactional,binary,clientes_banco,Financial Services/BACS/Other,0.0104412613463456,0.0090925749855456,0.0119875759874734
transactional,binary,clientas_banco,Financial Services/BACS/Other,0.01126626467788,0.0098569786061646,0.0128744213200961
transactional,binary,clientes_banco,Financial Services/CHAPS/Other,0.063854347027651,0.0604699280800469,0.06741459561715
transactional,binary,clientas_banco,Financial Services/CHAPS/Other,0.0595049190733101,0.0562209561876765,0.0629679057380767
transactional,binary,clientes_banco,Financial Services/Cards/Balance Transfer,0.0039351487486227,0.0031392491473857,0.004931835928517
transactional,binary,clientas_banco,Financial Services/Cards/Balance Transfer,0.0038083148206918,0.0030239043439495,0.0047952252035784
transactional,binary,clientes_banco,Financial Services/Cards/Money Transfer,0.0538853035311401,0.0507681974205182,0.0571822669629681
transactional,binary,clientas_banco,Financial Services/Cards/Money Transfer,0.0525230085687084,0.0494325693741468,0.0557953159483008
transactional,binary,clientes_banco,Financial Services/Cards/Other,0.494254682827011,0.48715826227788,0.501353419073109
transactional,binary,clientas_banco,Financial Services/Cards/Other,0.481857611340315,0.4747392826699,0.488983311618235
transactional,binary,clientes_banco,Financial Services/Cards/Pre-Paid,0.129177816254788,0.124490449665248,0.134014658022784
transactional,binary,clientas_banco,Financial Services/Cards/Pre-Paid,0.120385062942981,0.115823116451975,0.125101268611485
transactional,binary,clientes_banco,Financial Services/Cards/Storecard,0.0159504695944173,0.0142660066622499,0.017830228342998
transactional,binary,clientas_banco,Financial Services/Cards/Storecard,0.0170845234317148,0.0153321998753415,0.0190332495671739
transactional,binary,clientes_banco,Financial Services/Current Accounts/Other Person,0.902723122934047,0.898434117360415,0.906849787529816
transactional,binary,clientas_banco,Financial Services/Current Accounts/Other Person,0.904368983391516,0.900094039496263,0.90847960323536
transactional,binary,clientes_banco,Financial Services/Current Accounts/Own Account,0.327351907235427,0.320725107278978,0.334048295046575
transactional,binary,clientas_banco,Financial Services/Current Accounts/Own Account,0.333915159208717,0.327226739026765,0.340671063471961
transactional,binary,clientes_banco,Financial Services/Foreign/POS Fee,0.0058764887979432,0.004885200517748,0.0070674973278106
transactional,binary,clientas_banco,Financial Services/Foreign/POS Fee,0.0046017137416693,0.0037310427428358,0.0056744060908457
transactional,binary,clientes_banco,Financial Services/Foreign/Payments,0.0332651240883572,0.0308111520039528,0.0359073030848294
transactional,binary,clientas_banco,Financial Services/Foreign/Payments,0.0297789061673543,0.0274492239026512,0.0322997474759775
transactional,binary,clientes_banco,Financial Services/Fraud/Dispute,0.0014691221994858,0.001014554352616,0.0021269240969619
transactional,binary,clientas_banco,Financial Services/Fraud/Dispute,0.0016925843647519,0.0011971971615604,0.0023924664111018
