mjd,year,mag,magerr,filter
59314.502569399774,2021.2731,20.04716558948487,0.35906360544982513,ZTF_r
59314.504525499884,2021.2731,20.282853540749805,0.3750533891646488,ZTF_r
59314.506493099965,2021.2731,19.94446415778489,0.24657954901939108,ZTF_r
59314.50844909996,2021.2731,20.07080041427532,0.26890629911611824,ZTF_r
59315.49962959997,2021.2758,19.647297462935573,0.4692912471982355,ZTF_r
59316.49826390017,2021.2786,20.2886879415681,0.4159429679860823,ZTF_r
59316.50018520001,2021.2786,20.09249840059917,0.29684693407683843,ZTF_r
59316.50210649986,2021.2786,19.982861132797712,0.25623016389936654,ZTF_r
59316.50402780017,2021.2786,20.480727623454484,0.38142519378555734,ZTF_r
59316.505937499925,2021.2786,20.11434524744276,0.26391273761961087,ZTF_r
59317.498773099855,2021.2813,19.939522982452917,0.2970690094622367,ZTF_r
59317.500729199965,2021.2813,19.82374255753725,0.21363208110160253,ZTF_r
59317.50268519996,2021.2813,20.12596081107326,0.30011080522256484,ZTF_r
59317.50465280004,2021.2813,19.947783737107404,0.2825557250593831,ZTF_r
59317.50662040012,2021.2813,20.027941714274284,0.3167768315424943,ZTF_r
59320.49379630014,2021.2895,19.92079476337324,0.33892372282173916,ZTF_r
59320.495752300136,2021.2895,20.261084498875256,0.6011164507625516,ZTF_r
59320.49967590021,2021.2895,20.074773146215904,0.5441018974196684,ZTF_r
59353.465127300005,2021.3798,19.954024187147382,0.25326527156945733,ZTF_r
59356.38591440022,2021.3878,19.847922076869935,0.3008033319083291,ZTF_r
59359.406770799775,2021.3960,20.14112696025158,0.49162229711096694,ZTF_r
59363.40686339978,2021.4070,20.117935541223382,0.28722197268409705,ZTF_r
59366.40531249996,2021.4152,20.266133095631254,0.3174704815636607,ZTF_r
59369.45233799983,2021.4236,20.11654663383245,0.2619882210490514,ZTF_r
59371.451539400034,2021.4290,20.04010315390575,0.22930144558717624,ZTF_r
59377.42364579998,2021.4454,20.17984800469395,0.29774684349724895,ZTF_r
59378.41202550009,2021.4481,20.17079956044543,0.23254365813253383,ZTF_r
59379.41050929995,2021.4508,20.23804287664547,0.3470265279601461,ZTF_r
59381.4070255002,2021.4563,20.2152816062977,0.47132226932261506,ZTF_r
59382.44680560008,2021.4591,20.049432149801486,0.24610016083445327,ZTF_r
59384.36515050009,2021.4644,20.280486414719682,0.27067699625872016,ZTF_r
59385.36715279985,2021.4671,20.150669208715378,0.33330053016596206,ZTF_r
59386.40815970022,2021.4700,20.082049540788436,0.2680937063425267,ZTF_r
59391.415289400145,2021.4837,19.9328240725554,0.2571159703580014,ZTF_r
