gen,cluster,unstim_media,suero_2h_media,suero_5h_media,tif_2h_media,tif_5h_media,log2fc_tif_vs_suero_2h,log2fc_tif_vs_suero_5h
Eri2,2,3.0944,2.7205,2.7683,3.4043,3.3969,0.6838,0.6286
Thumpd1,1,5.1569,5.4828,5.9868,5.3474,5.338,-0.1354,-0.6488
Trim21,3,3.2897,2.6646,2.1488,3.0791,2.7323,0.4145,0.5835
Bccip,1,6.0575,6.0457,6.5257,5.9459,6.1165,-0.0999,-0.4092
Stim1,3,4.7169,4.6702,4.0933,4.7364,4.643,0.0662,0.5497
Mki67,3,8.4041,7.9486,7.684,8.1562,8.3497,0.2076,0.6656
Atp6ap2,1,4.1353,4.407,4.6046,4.294,4.2153,-0.113,-0.3893
Usp9x,1,3.24,3.765,4.2657,3.689,3.5553,-0.076,-0.7104
Trim66,1,0.1211,1.0037,1.8041,0.1884,0.6989,-0.8152,-1.1053
Sash3,3,7.1015,6.1544,5.575,6.6176,6.7142,0.4632,1.1392
Rbmx2,1,3.872,4.2367,4.5318,3.9093,4.054,-0.3274,-0.4777
2610018G03Rik,3,4.8034,4.3983,4.3528,4.7098,4.6969,0.3115,0.3441
Slc9a9,3,3.3141,3.3243,2.78,3.6004,3.4076,0.2761,0.6276
Cd40lg,1,0.3401,4.1335,3.0014,1.9573,1.5419,-2.1761,-1.4595
Syp,1,0.3768,2.0632,3.7621,0.4623,0.9513,-1.6009,-2.8107
Plp2,4,7.5691,7.6833,7.5302,7.3022,7.2192,-0.3811,-0.311
Gripap1,1,4.7715,5.1352,5.4916,4.6725,4.9646,-0.4627,-0.5271
Rbm3,4,9.4976,9.4291,9.484,9.6054,9.0915,0.1763,-0.3925
Rpgr,1,1.7323,1.6921,2.0196,1.4669,1.5979,-0.2252,-0.4217
Rab39b,1,0.7353,2.1757,3.7228,1.9238,2.7709,-0.2519,-0.952
2610029G23Rik,4,4.2653,4.1425,4.4723,3.8175,3.7234,-0.325,-0.7489
Itm2a,4,3.5297,3.5562,3.5645,3.384,2.8429,-0.1722,-0.7216
Acsl4,1,5.0381,5.7097,5.7594,5.6211,5.4442,-0.0886,-0.3152
Cdkl5,1,0.5217,1.0819,1.8007,0.4759,1.1765,-0.6059,-0.6242
Slc7a3,1,0.3922,2.2376,4.2247,1.4597,2.9548,-0.7778,-1.27
Il2rg,1,8.5395,8.6968,8.8159,8.2293,8.0925,-0.4675,-0.7234
Cetn2,4,6.1253,5.4008,5.5258,5.6412,4.9399,0.2404,-0.5859
Hccs,1,3.5876,4.8365,5.1254,4.449,4.6563,-0.3875,-0.4692
Ctps2,3,6.3377,5.69,4.675,5.8067,5.7278,0.1167,1.0527
Zfp275,1,2.3318,3.0444,3.1515,2.7063,2.7531,-0.3381,-0.3984
Abcd1,3,3.9509,3.1267,1.8465,3.2997,2.9338,0.1731,1.0873
Mecp2,2,3.9363,3.9946,3.7434,4.2487,4.3574,0.2542,0.614
Dkc1,1,8.2396,8.4902,9.0669,7.7892,7.874,-0.701,-1.1929
Morf4l2,1,7.5722,8.3095,8.7231,7.8914,8.242,-0.4182,-0.4811
Zcchc18,3,3.3639,2.3751,1.1928,2.6511,2.2077,0.276,1.0149
Psmd10,4,4.8432,4.5514,4.8475,4.6138,4.3801,0.0624,-0.4674
Tsc22d3,2,4.4383,5.1711,4.3012,6.6115,5.8936,1.4404,1.5924
Prps1,4,5.923,6.1656,6.2007,5.814,5.4325,-0.3515,-0.7681
Rasa3,3,6.5999,6.1613,4.2531,6.5815,5.9769,0.4202,1.7237
Agpat5,4,3.7756,3.9148,3.9983,3.6636,3.3974,-0.2512,-0.6008
Erlin2,1,2.5261,2.5634,2.9024,2.4862,2.4687,-0.0771,-0.4338
Rab11fip1,1,3.0803,3.8407,4.2815,3.3493,3.676,-0.4914,-0.6055
Ankrd10,2,3.92,3.7034,3.6657,4.2058,4.3838,0.5024,0.7181
Dlc1,1,0.2649,1.9839,2.4271,0.9267,1.098,-1.0572,-1.3291
Dusp4,1,3.1831,6.8392,7.308,5.4929,5.8252,-1.3462,-1.4828
Tmem66,2,7.0104,7.1398,6.8991,7.46,7.3165,0.3202,0.4174
Polb,1,5.4798,5.3491,6.1193,5.2796,5.5185,-0.0695,-0.6008
Ap3m2,2,2.4692,2.7118,2.5214,3.2111,3.1981,0.4993,0.6767
Tm2d2,2,3.5873,3.4957,3.2096,4.0718,3.7598,0.5761,0.5502
Plekha2,2,5.8961,5.9744,5.3715,7.0302,6.5221,1.0558,1.1506
Rwdd4a,1,5.7336,6.1293,6.5373,5.5769,5.8647,-0.5524,-0.6726
Ppapdc1b,1,3.4864,3.4392,4.4349,3.2318,3.3837,-0.2073,-1.0511
Star,2,1.0233,1.1498,0.9699,1.4005,1.52,0.2507,0.5502
Mak16,1,6.0976,7.029,7.5901,6.3628,6.8524,-0.6662,-0.7377
Wrn,3,4.1686,3.7605,3.3748,3.9396,4.0302,0.179,0.6554
Gtf2e2,1,5.0353,5.3323,5.702,5.0836,5.3781,-0.2487,-0.3239
Asah1,4,3.8751,3.7572,4.1287,3.7909,3.2689,0.0337,-0.8597
Vps37a,1,2.9048,4.2142,5.0745,3.5565,4.1031,-0.6577,-0.9715
Sin3b,4,6.6207,6.7008,6.8474,6.5549,6.4002,-0.1458,-0.4472
Irf2,3,5.5474,5.3452,4.7589,5.4808,5.4654,0.1356,0.7065
Casp3,1,7.1549,7.6787,7.8325,7.3704,7.2676,-0.3083,-0.5648
Sh3rf1,1,1.9607,3.0747,3.7238,2.19,2.7087,-0.8847,-1.015
Heatr3,1,4.017,4.6111,4.6981,3.9072,4.0711,-0.7039,-0.627
Adcy7,3,5.0208,4.2404,3.3388,4.1464,4.126,-0.094,0.7872
Snx20,3,4.3934,3.5235,3.4315,4.3726,4.1366,0.8491,0.7051
Rbl2,3,6.6529,5.4843,5.1603,6.0215,5.9529,0.5372,0.7926
Gins3,3,3.9087,3.2996,3.3175,3.6989,3.7391,0.3992,0.4216
Slc10a7,3,3.4843,3.1502,3.04,3.5461,3.4822,0.396,0.4422
Dnaja2,1,6.5813,6.8462,7.1027,6.486,6.475,-0.3602,-0.6277
Rfx1,3,3.222,3.9737,3.1629,3.9034,3.7172,-0.0703,0.5543
Zfp330,1,4.8932,6.0744,7.011,5.4432,6.1032,-0.6312,-0.9078
Smarca5,1,6.6476,6.7164,7.2364,6.4528,6.7507,-0.2637,-0.4857
Zfp821,3,2.2258,1.714,1.2701,2.3225,2.1451,0.6085,0.8749
Ap1g1,1,4.7222,5.0598,5.3259,4.963,4.9223,-0.0968,-0.4036
Cenpn,3,4.8983,4.4679,3.9448,4.6439,4.8457,0.176,0.9009
Cdyl2,1,2.9534,3.7455,4.5056,2.8908,3.8105,-0.8547,-0.6951
Mt3,3,3.3825,2.7355,1.7801,2.9936,2.7453,0.2581,0.9652
Mt1,2,7.698,8.5161,7.9834,8.5616,8.7149,0.0455,0.7315
Nudt7,3,2.8351,2.4379,2.1804,2.4476,2.7287,0.0097,0.5483
Herpud1,1,5.5004,7.9787,8.8676,7.9374,8.1438,-0.0412,-0.7238
Arl2bp,3,5.8559,5.5117,5.0532,5.8751,5.3887,0.3633,0.3355
Polr2c,1,5.8943,5.8942,6.2108,5.8857,5.8803,-0.0085,-0.3306
Gpr56,1,0.4125,1.798,2.9153,0.838,1.6323,-0.9601,-1.2829
Katnb1,3,3.6911,3.6531,3.1311,3.6969,3.682,0.0438,0.5509
Kifc3,1,0.3862,1.0914,2.0259,0.5161,0.835,-0.5753,-1.1909
Tmem38a,3,1.4529,1.0567,0.7203,1.2075,1.2051,0.1508,0.4849
Gtl3,2,4.901,4.8462,4.8182,4.9183,5.1637,0.0721,0.3455
Map1lc3b,3,5.9719,5.4203,5.0403,6.023,5.7909,0.6027,0.7506
Mast3,2,4.4654,4.8439,4.4966,4.6363,5.0891,-0.2076,0.5925
Ifi30,3,5.649,5.0198,3.692,4.8602,4.1988,-0.1596,0.5067
Mphosph6,1,5.1816,5.7944,6.4043,5.646,5.5948,-0.1484,-0.8095
9130404D08Rik,2,3.7876,3.7846,3.5579,4.1381,4.1153,0.3534,0.5574
Lpar2,3,1.9306,1.9623,1.6146,1.7038,1.9509,-0.2585,0.3363
Dctn1,3,5.9159,5.8643,5.233,6.0027,5.8835,0.1383,0.6505
Cbfb,1,6.4194,6.5142,6.6553,6.1999,6.1087,-0.3143,-0.5466
Nfatc3,3,6.0119,5.8516,5.5491,6.2247,6.0863,0.3731,0.5372
Slc7a6,1,3.3759,4.3523,4.5295,3.9361,3.8929,-0.4162,-0.6365
Nip7,1,3.5496,4.482,4.7712,3.7995,3.8417,-0.6825,-0.9296
Terf2,3,5.0028,4.7495,4.7391,4.8221,5.1994,0.0726,0.4602
Cyb5b,1,5.336,5.4196,5.5218,5.2758,5.2015,-0.1438,-0.3203
Maml2,1,3.4251,3.4066,4.4353,4.0733,4.0434,0.6667,-0.3919
1700012B09Rik,1,0.0,0.5364,2.3412,0.1165,1.0759,-0.4199,-1.2654
Wwp2,3,4.5159,4.6286,4.2212,4.6609,4.616,0.0323,0.3948
Ankrd49,4,3.7863,3.3394,3.9162,3.144,3.2672,-0.1954,-0.649
Folr4,4,4.7994,4.5547,4.2085,4.1726,3.648,-0.3821,-0.5605
Med17,1,3.8104,4.2501,4.5601,3.9432,4.2405,-0.3069,-0.3196
4931406C07Rik,3,2.5496,1.8993,1.246,1.7278,2.1872,-0.1716,0.9412
Adat1,1,2.2412,2.3916,2.8292,1.6295,1.9202,-0.7621,-0.9091
Cfdp1,4,7.0756,6.6146,7.0547,6.6114,6.5936,-0.0032,-0.4611
Abcb10,3,2.0633,1.4646,1.1147,1.5143,1.4398,0.0497,0.3251
Urb2,1,3.2018,3.6854,3.9044,3.226,3.3083,-0.4593,-0.5962
Arv1,1,1.3051,2.1945,2.2723,1.4708,1.7194,-0.7238,-0.5528
2810004N23Rik,1,5.1078,5.1522,5.5596,4.9472,5.0241,-0.205,-0.5355
Egln1,3,5.0138,4.2624,3.7508,4.5225,4.28,0.26,0.5292
Aplp2,1,4.9036,5.1763,5.3144,5.0156,4.9568,-0.1607,-0.3576
Dcun1d5,1,5.8963,5.9745,6.4059,5.8912,5.8342,-0.0832,-0.5718
Sesn3,2,5.1938,5.3732,4.7354,5.9045,5.3524,0.5313,0.617
Thy1,4,10.0279,10.0231,9.3998,9.5375,9.0408,-0.4856,-0.3591
Ubash3b,1,4.2729,5.5516,6.0677,3.971,5.1374,-1.5806,-0.9303
Crtam,1,4.5902,9.3365,9.8757,6.6765,8.5714,-2.66,-1.3043
Rexo2,4,7.7692,7.1451,7.1771,7.1895,6.8516,0.0444,-0.3256
Ets1,3,7.055,7.0,6.0455,7.391,6.6564,0.391,0.6109
Tirap,3,1.8008,1.1103,0.8911,1.3003,1.4591,0.19,0.5679
Srpr,1,6.6019,7.3752,7.688,6.6424,7.0203,-0.7329,-0.6677
Rdx,1,5.9377,5.9842,6.2211,5.9212,5.9085,-0.063,-0.3126
Pou2af1,1,2.1616,4.8696,6.5592,2.5777,3.8596,-2.2919,-2.6996
Ppp2r1b,1,3.8938,4.309,4.5341,3.7982,4.0188,-0.5107,-0.5153
Dixdc1,1,0.5179,0.8897,1.1796,0.2838,0.4237,-0.606,-0.7559
Pts,3,5.3094,4.4174,4.2561,4.7785,4.7865,0.3611,0.5304
Mpzl2,1,0.4815,4.0389,4.4149,0.9401,1.8794,-3.0988,-2.5355
Cd3e,4,8.8263,8.6284,8.2861,8.2339,7.8864,-0.3945,-0.3997
Arcn1,1,6.925,7.1384,7.7065,6.8597,7.157,-0.2788,-0.5494
Trappc4,1,4.7134,5.11,5.6625,4.8974,5.1096,-0.2126,-0.5529
Chek1,2,4.0923,3.8991,3.9118,4.2191,4.2987,0.3199,0.3869
Slc37a4,3,3.0933,2.7335,2.3917,3.2133,3.0281,0.4798,0.6364
Hyou1,1,5.0016,5.97,7.3267,5.4883,6.4064,-0.4817,-0.9203
Stt3a,1,5.7236,6.8051,7.469,6.3682,6.6056,-0.4369,-0.8634
Tmem218,3,2.6379,2.4252,2.3116,2.7364,2.978,0.3112,0.6665
Slc37a2,1,1.2005,2.3215,2.8358,1.431,2.0728,-0.8906,-0.7629
Dpagt1,1,4.3485,4.5258,5.0554,4.3013,4.5376,-0.2246,-0.5179
Vps11,2,3.3199,3.4452,3.282,3.6857,3.8002,0.2404,0.5183
Mcam,4,0.3452,0.5253,0.8973,0.4519,0.2279,-0.0734,-0.6694
Pin1,1,3.4195,3.9376,4.3356,3.6499,3.6514,-0.2877,-0.6842
Olfm2,1,0.0698,0.0724,1.0007,0.0218,0.2191,-0.0506,-0.7816
Lysmd2,3,3.6384,3.0319,2.6358,3.3286,3.3967,0.2967,0.761
Gnb5,1,1.3499,1.7305,2.9195,1.2341,1.7692,-0.4964,-1.1503
Ldlr,3,3.604,1.7349,0.9688,2.2854,1.2712,0.5505,0.3025
Rab27a,4,5.5971,6.1562,5.6597,5.4262,5.244,-0.73,-0.4157
Rsl24d1,1,6.7509,7.0813,7.361,6.6366,6.5554,-0.4447,-0.8056
Nedd4,3,4.6142,4.1564,3.7603,4.3008,4.2989,0.1444,0.5386
Ccnb2,3,7.5884,6.5985,5.905,6.9696,6.5932,0.3711,0.6882
Myo1e,1,2.9834,3.4343,4.5642,2.5849,2.9281,-0.8494,-1.6361
Mns1,3,5.7212,4.7886,4.8837,5.0646,5.2961,0.2759,0.4124
Tcf12,2,5.9467,6.0906,5.9645,6.3585,6.4325,0.2679,0.468
rp9,3,6.5569,5.9556,5.5451,6.3215,6.1019,0.3659,0.5567
Cln6,3,4.4889,4.3994,3.3695,4.2942,4.1265,-0.1052,0.7569
Anp32a,4,10.032,9.8058,9.814,9.4965,9.0207,-0.3093,-0.7933
Glce,1,1.7449,2.6883,3.8225,2.7094,3.064,0.0211,-0.7585
Kif23,3,6.1005,5.2627,5.1991,5.6778,5.7806,0.4152,0.5816
Zw10,3,4.4841,4.2322,4.3185,4.4276,4.6442,0.1954,0.3257
Fam46a,3,3.3176,1.9572,1.7157,4.2628,3.8602,2.3056,2.1445
Usp28,3,3.3609,2.8685,2.0152,3.1471,2.8649,0.2787,0.8496
Tle3,1,6.022,7.2949,7.8296,5.8637,6.1768,-1.4311,-1.6528
Imp3,1,5.2446,5.5824,5.7842,5.3817,5.4084,-0.2008,-0.3758
Ireb2,1,3.3775,3.7991,3.8055,3.4203,3.4252,-0.3788,-0.3803
Neil1,3,3.4279,2.7762,2.1958,3.6149,3.6925,0.8388,1.4967
1700017B05Rik,3,5.6521,5.6447,4.133,6.1404,5.7861,0.4957,1.6531
Psma4,4,7.7672,7.3017,7.4446,7.281,6.9846,-0.0208,-0.46
Mpi,3,3.2906,2.3089,2.1823,2.5912,2.6718,0.2824,0.4895
Ube2q2,1,3.7976,4.7074,5.1855,3.9211,4.3395,-0.7863,-0.8459
Rcn2,4,3.868,3.9536,4.0037,3.5283,3.3729,-0.4253,-0.6308
Hmg20a,3,3.6518,3.1708,2.6998,3.397,3.608,0.2262,0.9082
Stoml1,3,3.3532,2.9698,2.4204,2.9303,3.0046,-0.0396,0.5841
E330016A19Rik,2,3.5257,3.4609,3.3915,3.6219,3.8317,0.1609,0.4402
Lrrc1,3,1.7782,1.5295,1.4407,1.9147,2.0923,0.3852,0.6516
Tpm1,1,5.7683,5.2449,6.0241,5.0191,5.1386,-0.2258,-0.8855
Plscr1,1,4.7737,6.1562,7.1168,5.6549,5.6503,-0.5013,-1.4665
Lactb,1,4.264,3.7734,4.6648,3.8987,4.2866,0.1252,-0.3783
Car12,1,2.4618,3.1987,3.5386,2.0841,2.448,-1.1147,-1.0906
Plod2,4,3.4327,3.2705,3.513,3.1964,2.973,-0.0741,-0.54
Dapk2,3,3.0188,2.4284,1.427,2.3855,2.3612,-0.0429,0.9342
Rbpms2,1,0.3044,2.1169,1.9037,1.211,1.5507,-0.906,-0.353
Parp16,3,2.4652,1.3007,1.2921,1.8416,2.0882,0.5409,0.7961
Dis3l,3,3.9936,3.5455,3.5774,3.9128,3.9066,0.3673,0.3291
Snapc5,3,6.2938,5.4738,4.9198,5.6708,5.3397,0.197,0.4198
Smad3,3,5.0896,5.0063,4.0957,5.4988,4.9575,0.4925,0.8618
Tfdp2,2,3.7892,3.9197,3.4902,4.2578,4.2688,0.3381,0.7786
Rasa2,1,3.0556,4.1025,4.7234,3.2926,3.9188,-0.8098,-0.8046
Nt5e,2,2.9842,4.2266,3.408,3.9973,3.7406,-0.2293,0.3326
Snx14,3,4.0527,3.3356,2.6301,3.52,3.6318,0.1844,1.0017
Syncrip,1,6.0335,6.2609,6.7859,5.9004,5.8964,-0.3604,-0.8895
4930422I07Rik,3,3.7621,2.8604,3.0972,3.5121,3.842,0.6517,0.7448
Crtap,4,3.3642,3.0769,3.5754,2.7268,2.9347,-0.3501,-0.6408
Cmtm7,3,7.4435,6.778,5.516,6.7278,6.3684,-0.0502,0.8525
Stt3b,1,5.3782,5.7481,5.9186,5.5181,5.5687,-0.23,-0.3499
Tgfbr2,2,4.2178,4.2276,3.8244,4.4692,4.2035,0.2417,0.3792
Copb2,1,6.2229,6.6161,7.2327,6.5382,6.895,-0.0779,-0.3378
Nme6,1,4.1076,4.0669,4.7778,3.9551,4.0578,-0.1118,-0.72
Smarcc1,4,5.886,5.8304,5.9211,5.6394,5.5048,-0.1911,-0.4163
Ptgs2,1,0.0,1.3388,1.7209,0.345,0.4693,-0.9939,-1.2515
Trib1,1,1.8508,4.8866,4.2407,3.2485,3.4608,-1.6382,-0.7798
Wdr48,1,4.3058,4.6915,5.2647,4.5836,4.7506,-0.108,-0.5141
Csrnp1,1,2.6449,5.9677,5.6631,4.774,5.1721,-1.1936,-0.4909
Deb1,1,4.7218,4.9582,5.6853,4.611,4.9821,-0.3471,-0.7032
Rab6b,3,1.9922,1.2055,0.9565,1.5553,1.4766,0.3497,0.5201
Srprb,1,4.1041,4.8625,5.4767,4.6814,4.978,-0.1811,-0.4987
Trf,2,0.9286,0.9517,0.2377,1.4492,1.1424,0.4976,0.9048
Topbp1,3,6.3581,6.191,5.9949,6.3889,6.3207,0.198,0.3258
Uba5,1,4.2891,4.5373,5.5826,4.5449,5.0233,0.0075,-0.5592
Dnajc13,1,4.4163,4.6621,4.8802,4.5117,4.551,-0.1505,-0.3292
Acpp,3,2.6684,2.2677,1.3927,2.6546,2.0386,0.3869,0.6459
Gnai2,3,8.8799,8.1771,7.1351,8.3453,7.7328,0.1682,0.5977
Mrpl3,1,4.9816,5.2862,5.5934,5.0188,5.1632,-0.2673,-0.4303
Atp2c1,1,5.0817,4.8901,5.3912,4.7628,4.8221,-0.1273,-0.5692
Pik3r4,2,3.4402,3.5638,3.2534,3.5785,3.6105,0.0147,0.3571
Manf,1,8.0321,8.3683,9.467,8.2867,8.4961,-0.0815,-0.9709
Mapkapk3,1,5.373,7.1033,7.165,6.1571,6.2965,-0.9461,-0.8685
Cish,1,5.7466,7.4007,6.3345,5.8485,5.3917,-1.5522,-0.9428
Mon1a,2,3.1926,3.3243,2.7532,3.5275,3.5925,0.2032,0.8393
Mst1r,1,0.0062,1.0712,1.8057,0.0236,0.3935,-1.0476,-1.4121
Ip6k1,2,4.4193,4.3716,4.2515,4.8169,4.8678,0.4453,0.6163
Nckipsd,3,2.3316,1.7842,1.5627,2.0911,1.9511,0.3069,0.3884
Slc25a20,1,3.9452,4.3551,4.958,4.0202,4.5442,-0.3349,-0.4137
Nicn1,3,2.7735,1.6668,1.8072,2.1782,2.2288,0.5114,0.4215
1700102P08Rik,2,0.474,0.4637,0.6391,0.99,1.3645,0.5263,0.7254
Usp4,1,5.1871,5.3848,5.6367,5.1455,5.3148,-0.2393,-0.3218
Srek1,1,3.9668,4.1024,4.768,3.972,4.4171,-0.1304,-0.3509
Eml4,1,4.5296,5.007,5.2097,4.49,4.7221,-0.517,-0.4876
Flcn,2,2.9821,3.9621,3.8393,4.076,4.2559,0.1138,0.4166
Chsy1,1,3.9375,4.8987,4.2835,3.919,3.7089,-0.9796,-0.5747
Gpr19,2,2.2632,2.2433,2.2096,2.4444,2.9716,0.2011,0.762
Fhl3,1,4.3506,4.6067,4.8266,4.1491,4.4806,-0.4576,-0.346
Crebl2,2,1.7388,1.4487,1.2887,2.2301,1.726,0.7813,0.4372
Fam189b,3,6.215,4.73,3.5297,5.2033,4.9917,0.4733,1.462
Oas3,3,3.7994,2.877,1.4738,3.0835,2.4973,0.2065,1.0235
1700025G04Rik,3,4.6799,3.9912,2.5136,4.7343,4.6085,0.7431,2.0949
2810474O19Rik,2,5.2059,5.5667,5.5066,6.0448,6.3283,0.4781,0.8218
Trib3,1,2.7093,6.1508,7.134,6.2567,6.6104,0.1059,-0.5236
Abtb2,1,2.8429,4.357,4.4517,3.2671,3.7523,-1.0899,-0.6994
Mier3,1,2.3276,3.616,3.7146,3.055,3.3773,-0.5611,-0.3373
Snx33,4,1.7047,1.5245,1.5688,1.3588,1.0787,-0.1657,-0.4901
Inppl1,3,2.4954,2.2459,2.1218,2.396,2.488,0.1501,0.3662
Tpcn1,3,4.4466,3.8856,2.7548,4.0613,4.0089,0.1757,1.2541
Gab3,3,3.3619,2.6632,2.1375,3.3191,3.1508,0.6559,1.0133
Bet1,1,3.8139,3.6315,4.6441,3.8889,3.9561,0.2574,-0.688
Mctp2,2,2.8152,2.8539,2.5879,3.3941,3.0645,0.5402,0.4766
Gtf3c1,2,4.2947,4.5983,4.1945,4.4544,4.5358,-0.1439,0.3413
Cntrob,3,3.7281,3.4294,2.6913,3.5084,3.5185,0.079,0.8272
Troap,3,3.7082,3.3193,3.0425,3.506,3.5397,0.1867,0.4972
Cdv3,1,6.5228,7.0996,7.5521,6.7141,6.9259,-0.3855,-0.6262
Slc10a3,1,3.1466,3.7271,4.0246,2.9455,3.052,-0.7816,-0.9726
Pwp2,1,2.9651,4.321,4.434,3.2971,3.5039,-1.0238,-0.9301
Zswim6,1,2.0328,4.2272,4.7461,2.7965,3.7075,-1.4307,-1.0386
Abcc4,4,3.1564,2.9814,3.1657,2.8666,2.7224,-0.1148,-0.4433
Smap2,3,7.3207,6.7953,6.2093,7.0405,6.7961,0.2451,0.5868
Fbxo21,3,2.8969,2.6591,2.2239,2.854,2.819,0.1949,0.5951
Slc16a1,1,3.766,4.7012,4.8498,3.8729,3.7513,-0.8283,-1.0985
Hspa13,1,2.3828,2.9101,3.9202,2.8926,3.0919,-0.0175,-0.8283
Rasgrp2,3,8.3782,7.3065,5.6996,7.4285,6.5646,0.122,0.865
Fkbp1a,4,8.037,7.9821,7.7487,7.7515,7.2283,-0.2306,-0.5203
Nfatc1,1,5.6762,7.6589,6.8836,6.2656,6.4176,-1.3933,-0.466
C330027C09Rik,4,5.6131,4.9284,5.1337,4.7289,4.3611,-0.1995,-0.7726
Tbc1d4,3,3.9615,4.0335,3.0542,4.455,4.4044,0.4215,1.3502
Triobp,3,5.0497,4.3589,3.9778,4.7196,4.8959,0.3607,0.9182
2310001A20Rik,1,3.6102,4.1626,4.5807,3.9233,3.9905,-0.2393,-0.5903
Nol12,1,6.431,6.5165,6.9445,6.2505,6.1937,-0.266,-0.7508
Cdc14b,4,2.5488,2.2191,2.5839,2.077,2.0582,-0.1421,-0.5257
Rnf125,3,6.3202,5.9046,5.0684,7.2989,6.8925,1.3943,1.8241
3830406C13Rik,3,5.6525,4.279,3.4597,4.318,3.9241,0.0391,0.4644
Atg9a,3,3.2972,2.4563,2.1788,3.0704,2.9753,0.6141,0.7964
Atp1a1,1,6.9021,7.4189,7.3944,7.095,7.0195,-0.3239,-0.3749
Dis3,1,4.7005,5.1982,5.738,4.8317,4.9627,-0.3665,-0.7754
Mzt1,1,4.5965,4.9779,5.3002,4.7708,4.8197,-0.2071,-0.4805
Eefsec,3,4.0827,4.0144,3.6857,4.0243,4.0489,0.0099,0.3632
Rac2,3,8.359,8.0938,7.2719,8.1303,7.7482,0.0365,0.4763
Ttf2,3,4.1694,3.8703,3.7665,4.1228,4.3895,0.2525,0.623
Trim45,3,1.463,0.982,0.8289,1.8241,1.7624,0.842,0.9335
Hsf4,3,1.2484,0.8267,0.6622,0.9089,1.165,0.0822,0.5028
Wdr3,1,4.4296,5.2665,5.6242,4.7777,4.8898,-0.4888,-0.7344
Noc4l,1,6.1289,6.6679,6.9052,6.2119,6.1617,-0.456,-0.7434
Fbxl8,2,3.1082,2.7512,2.3401,3.3124,3.5063,0.5612,1.1662
Gstt2,4,4.4085,4.0298,4.2317,3.8727,3.6988,-0.1572,-0.5329
Dnm2,3,6.7092,6.3644,5.8598,6.4706,6.6017,0.1061,0.7419
Chst2,1,1.7435,4.5743,4.0924,2.9809,3.0926,-1.5934,-0.9998
Rtp4,3,2.9361,1.4877,0.5292,2.0744,0.9692,0.5867,0.4399
Pus7l,1,2.7606,3.4898,3.951,2.8798,2.9311,-0.61,-1.0199
Atp6v0b,1,6.1465,6.0296,6.4757,5.9566,5.8886,-0.073,-0.5871
Frrs1,1,3.1438,3.8824,4.0677,3.195,3.1188,-0.6874,-0.9489
Agl,3,2.2584,1.8873,1.6093,1.9628,1.9867,0.0755,0.3775
1110038D17Rik,3,3.8252,3.0108,2.649,3.8106,3.5623,0.7997,0.9133
2700078E11Rik,1,3.6942,4.1379,4.5201,4.0084,4.1369,-0.1295,-0.3832
Terf2ip,2,3.4304,3.1859,3.473,3.7328,3.9455,0.5468,0.4725
Tagap,1,3.0452,7.2982,7.24,5.5022,6.1984,-1.796,-1.0415
Cysltr2,3,0.597,0.7674,0.5201,1.4209,0.9359,0.6536,0.4158
Fndc3a,1,3.2637,4.2629,4.1539,3.5271,3.7166,-0.7357,-0.4372
Larp4b,1,5.0252,5.7633,6.0054,5.6591,5.5542,-0.1042,-0.4512
Cdc14a,1,3.0462,4.9647,4.5043,3.2179,3.8938,-1.7469,-0.6105
Idi2,1,0.0,0.2269,1.2227,0.0322,0.2866,-0.1948,-0.9361
Ppip5k1,3,3.0568,2.7282,2.123,2.7923,3.0068,0.0641,0.8837
Casp4,1,2.903,4.2131,5.7979,3.2694,3.9752,-0.9437,-1.8227
Znrf1,2,2.7434,3.1245,2.4083,2.8235,3.2155,-0.3011,0.8072
Dph5,1,4.7764,4.9214,5.3607,4.7921,4.7988,-0.1292,-0.5619
Fam20b,3,3.8349,3.482,2.9131,3.4737,3.5428,-0.0084,0.6297
Vps8,4,4.1305,3.859,4.5602,3.6584,3.7321,-0.2006,-0.8281
Ucp2,1,7.6855,8.3371,8.2495,7.4581,7.342,-0.879,-0.9074
Smyd5,1,4.9317,5.9236,6.6535,5.0054,5.8937,-0.9181,-0.7598
2610301G19Rik,3,4.6867,4.3384,3.7736,4.6283,4.4846,0.2899,0.711
Egr3,2,3.0923,9.9846,6.869,8.1398,7.2584,-1.8448,0.3893
Sf3b3,1,6.1389,6.3086,6.472,6.1465,6.0448,-0.1622,-0.4272
Recql4,3,3.2075,2.8406,3.2894,3.0544,3.6342,0.2138,0.3448
Exoc6b,2,2.3729,2.5524,2.4561,2.9021,3.2052,0.3497,0.7491
Atp7a,1,1.4559,1.6474,2.2575,1.4036,1.3802,-0.2438,-0.8773
Atp6v1h,1,3.9198,4.2332,4.6351,4.0016,4.1079,-0.2316,-0.5272
BC016423,1,2.9033,4.0247,4.3181,3.244,3.6262,-0.7807,-0.6919
Tmem87a,1,4.3246,4.8534,5.4172,4.827,5.0931,-0.0264,-0.3241
Alg3,1,4.1366,4.7876,5.3434,4.111,4.5717,-0.6766,-0.7717
Dnahc8,3,2.7198,2.0067,0.8908,2.0275,1.5659,0.0207,0.6752
Mrpl15,1,7.0519,6.9766,7.4488,6.931,6.8407,-0.0456,-0.6082
Pla2g4b,3,3.8068,2.8523,2.2784,3.3344,2.921,0.4821,0.6426
