comparacion,gen,log2fc,pvalue,padj
PRDX1_estimulado,Mrpl53,-0.1586,3.057e-02,8.389e-02
PRDX1_estimulado,Snrpa,-0.1584,2.540e-04,1.595e-03
PRDX1_estimulado,Gstp1,-0.158,1.488e-04,1.014e-03
PRDX1_estimulado,Dnajc8,-0.1578,2.653e-05,2.270e-04
PRDX1_estimulado,9330133O14Rik,-0.1578,5.063e-02,1.247e-01
PRDX1_estimulado,Psmd2,-0.1578,3.273e-09,7.606e-08
PRDX1_estimulado,Qtrtd1,-0.1577,1.903e-02,5.755e-02
PRDX1_estimulado,Mrps22,-0.1575,6.742e-03,2.491e-02
PRDX1_estimulado,Tpst1,-0.1575,4.532e-02,1.144e-01
PRDX1_estimulado,Dis3l,-0.1575,3.372e-03,1.413e-02
PRDX1_estimulado,Ctsz,-0.1574,9.339e-04,4.846e-03
PRDX1_estimulado,Pisd,-0.1572,6.470e-03,2.416e-02
PRDX1_estimulado,Poldip2,-0.1572,1.930e-03,8.925e-03
PRDX1_estimulado,Lfng,-0.157,9.549e-05,6.962e-04
PRDX1_estimulado,Efhd2,-0.157,2.678e-06,3.057e-05
PRDX1_estimulado,Coro1a,-0.157,1.880e-07,2.934e-06
PRDX1_estimulado,Ubap2l,-0.1569,1.387e-04,9.533e-04
PRDX1_estimulado,Ptpre,-0.1569,3.158e-02,8.611e-02
PRDX1_estimulado,Gtf3a,-0.1568,5.430e-03,2.101e-02
PRDX1_estimulado,Ube2s,-0.1568,5.126e-05,4.047e-04
PRDX1_estimulado,Spred2,-0.1567,1.468e-02,4.666e-02
PRDX1_estimulado,Doc2a,-0.1567,3.425e-02,9.178e-02
PRDX1_estimulado,Mad2l2,-0.1567,1.027e-02,3.510e-02
PRDX1_estimulado,Dlg2,-0.1567,3.812e-02,9.989e-02
PRDX1_estimulado,Creld2,-0.1566,2.639e-03,1.158e-02
PRDX1_estimulado,St5,-0.1565,2.361e-02,6.820e-02
PRDX1_estimulado,Ccnj,-0.1565,4.211e-02,1.081e-01
PRDX1_estimulado,Hhat,-0.1564,5.275e-02,1.290e-01
PRDX1_estimulado,5830417I10Rik,-0.1564,1.947e-03,8.996e-03
PRDX1_estimulado,Pik3c2b,-0.1562,5.243e-02,1.283e-01
PRDX1_estimulado,Focad,-0.1561,3.490e-03,1.455e-02
PRDX1_estimulado,Hlcs,-0.1561,2.218e-02,6.496e-02
PRDX1_estimulado,Ubqln1,-0.1559,8.421e-07,1.089e-05
PRDX1_estimulado,Slc16a13,-0.1559,1.922e-02,5.802e-02
PRDX1_estimulado,Ndufb6,-0.1559,1.283e-02,4.202e-02
PRDX1_estimulado,Rpl7l1,-0.1558,3.154e-05,2.664e-04
