gen,uniprot,descripcion,abundancia_tif,abundancia_suero,es_antioxidante,log2fc_tif_vs_suero,foldchange_tif_vs_suero
Uap1l1,Q3TW96,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1,1852514.50520833,206244.526123047,No,3.167050887792652,8.982126895833863
Uba1,Q02053,Ubiquitin-like modifier-activating enzyme 1,8696908.03645833,206244.526123047,No,5.398068014748933,42.16794598111996
Ubb,Q5SX22,Polyubiquitin-B (Fragment),206244.526123047,90685263.7760417,No,-8.780361514865334,0.00227428931157319
Ubc,A5JUZ1,Ubiqutin subunit 1 (Fragment),1998169280.90885,206244.526123047,No,13.24202836605641,9688.35061211141
Ugp2,Q8R0M2,Ugp2 protein (Fragment),25188971.9583333,206244.526123047,No,6.9322856646086,122.1315902624508
Usp5,Q3U4W8,Ubiquitin carboxyl-terminal hydrolase,1175008.625,206244.526123047,No,2.510237844686273,5.697162717903995
Vasp,P70460,Vasodilator-stimulated phosphoprotein,3767779.25,206244.526123047,No,4.191280094553779,18.2685054523683
Vat1,Q5RKP0,Vat1 protein (Fragment),877478705.09375,97930575.5,No,3.163532833158193,8.96021187064044
Vcl,Q64727,Vinculin,651703.8671875,206244.526123047,No,1.659855944842793,3.159860188476899
Vcp,Q01853,Transitional endoplasmic reticulum ATPase,11787716.7526042,206244.526123047,No,5.836777786829451,57.15408294313499
Vim,P20152,Vimentin,64217225.4739583,13012112.3372396,No,2.303105063156877,4.935188369852438
Vps29,D3YW98,Vacuolar protein sorting-associated protein 29,1338214.90625,206244.526123047,No,2.697876167677695,6.488486901473502
Vtn,P29788,Vitronectin,3425215.3125,206244.526123047,No,4.053760371515221,16.60754530986433
Wars,Q3U6U7,Putative uncharacterized protein,4078806.0625,206244.526123047,No,4.305712535881444,19.77655426387683
Wdr1,Q3TE06,Putative uncharacterized protein (Fragment),3301696.31770833,206244.526123047,No,4.000773137722547,16.00864944041479
Xirp2,Q4U4S6,Xin actin-binding repeat-containing protein 2,206244.526123047,206244.526123047,No,0,1
Yars,Q91WQ3,"Tyrosine--tRNA ligase, cytoplasmic",1068389.734375,206244.526123047,No,2.373004639481913,5.180208922187786
Ywhab,Q9CQV8,14-3-3 protein beta/alpha,28460033.5351563,206244.526123047,No,7.108430777531037,137.9917036836984
Ywhae,P62259,14-3-3 protein epsilon,38095114.0859375,13941737.3333333,No,1.450195557998704,2.732450997685625
Ywhag,P61982,14-3-3 protein gamma,28460033.5351563,206244.526123047,No,7.108430777531037,137.9917036836984
