phenotype_id,phenotype_name,source,population,gamma,gamma_se,gamma_p,gamma_z,gamma_sign,gamma_sign_se,gamma_sign_p,gamma_sign_z
Pan-UKBB.3539,How are people in household related to participant,Pan-UKBB (phenotype-manifest-23-03-01),European,0.164702706,0.11191906,0.141122606,1.471623389,0.208995508,0.115091447,0.069384448,1.815908244
Pan-UKBB.3540,How are people in household related to participant,Pan-UKBB (phenotype-manifest-23-03-01),European,0.06630088,0.115386527,0.565563131,0.57459811,0.026923124,0.119662835,0.821985868,0.224991524
Pan-UKBB.3551,Current employment status,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.373029562,0.113019536,0.000964866,-3.300575957,-0.414339281,0.118056216,0.00044865,-3.509677808
Pan-UKBB.3553,Current employment status,Pan-UKBB (phenotype-manifest-23-03-01),European,0.196000986,0.108702349,0.071372828,1.803097985,0.230397899,0.111546523,0.03887694,2.065487048
Pan-UKBB.3558,Transport type for commuting to job workplace,Pan-UKBB (phenotype-manifest-23-03-01),European,0.138079445,0.123828448,0.264813304,1.115086621,0.191123777,0.127338868,0.13337966,1.500906833
Pan-UKBB.3560,"Never eat eggs, dairy, wheat, sugar",Pan-UKBB (phenotype-manifest-23-03-01),European,-0.147219624,0.116292297,0.205532858,-1.265944766,-0.214589905,0.118484275,0.070121409,-1.811125619
Pan-UKBB.3564,"Never eat eggs, dairy, wheat, sugar",Pan-UKBB (phenotype-manifest-23-03-01),European,0.357062121,0.096541335,0.000216842,3.698541359,0.521180105,0.098125101,1.09e-07,5.31138412
Pan-UKBB.3565,"Illness, injury, bereavement, stress in last 2 years",Pan-UKBB (phenotype-manifest-23-03-01),European,-0.029162534,0.121441979,0.810225189,-0.240135532,-0.045876399,0.126272379,0.716371069,-0.363313019
Pan-UKBB.3571,"Illness, injury, bereavement, stress in last 2 years",Pan-UKBB (phenotype-manifest-23-03-01),European,-0.617061525,0.094220865,5.79e-11,-6.549096364,-0.692839911,0.099083903,2.7e-12,-6.992456811
Pan-UKBB.3591,Mouth/teeth dental problems,Pan-UKBB (phenotype-manifest-23-03-01),European,0.284696253,0.122655187,0.020280876,2.321110586,0.423765112,0.12642324,0.000802428,3.351955785
Pan-UKBB.3593,Mouth/teeth dental problems,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.115772624,0.124563401,0.352667692,-0.929427286,-0.160015636,0.128089957,0.211575771,-1.249244199
Pan-UKBB.3594,Mouth/teeth dental problems,Pan-UKBB (phenotype-manifest-23-03-01),European,0.076475529,0.1249383,0.540467385,0.612106368,0.109492589,0.12757849,0.39076157,0.858237071
Pan-UKBB.3596,Mouth/teeth dental problems,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.574366953,0.124478376,3.95e-06,-4.614190601,-0.602391016,0.126253482,1.83e-06,-4.771282407
Pan-UKBB.3598,Vascular/heart problems diagnosed by doctor,Pan-UKBB (phenotype-manifest-23-03-01),European,0.287800977,0.128543727,0.025160182,2.238934442,0.444145178,0.128371885,0.000540512,3.459832168
Pan-UKBB.3599,Vascular/heart problems diagnosed by doctor,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.115274124,0.105907224,0.276398974,-1.088444389,-0.151619623,0.108340769,0.161672178,-1.399469702
Pan-UKBB.3601,Vascular/heart problems diagnosed by doctor,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.240066322,0.127986372,0.060694033,-1.875717852,-0.37790649,0.127614221,0.003063239,-2.961319567
Pan-UKBB.3608,Fractured bone site(s),Pan-UKBB (phenotype-manifest-23-03-01),European,-0.011335599,0.10603585,0.914865573,-0.106903454,-0.13150719,0.110282308,0.233081105,-1.192459542
Pan-UKBB.3609,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",Pan-UKBB (phenotype-manifest-23-03-01),European,-0.238701371,0.124025015,0.054276567,-1.924622786,-0.126125643,0.127250029,0.321605524,-0.991163964
Pan-UKBB.3613,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",Pan-UKBB (phenotype-manifest-23-03-01),European,-0.076267048,0.12724677,0.548930624,-0.599363332,-0.194302708,0.12880293,0.131419681,-1.508527083
Pan-UKBB.3622,"Medication for pain relief, constipation, heartburn",Pan-UKBB (phenotype-manifest-23-03-01),European,0.334852864,0.126902781,0.008323524,2.638656624,0.343789015,0.128819469,0.007613048,2.668765965
Pan-UKBB.3623,"Medication for pain relief, constipation, heartburn",Pan-UKBB (phenotype-manifest-23-03-01),European,0.036619963,0.121782223,0.763642967,0.300700395,0.082376767,0.125453781,0.511418594,0.656630404
