t_gpx_s,log,fase,voltaje_v,corriente_a,potencia_w,rapidez_odometria_mps,temp_motor_max_c,temp_cuerpo_c
-291.83,1,antes,67.48,1.532,103.38,0.0,32,39
-290.83,1,antes,66.83,1.468,98.11,0.001,32,39
-289.83,1,antes,66.77,1.566,104.56,0.001,32,40
-288.83,1,antes,66.74,1.528,101.98,0.001,32,39
-287.83,1,antes,66.8,1.329,88.78,0.0,32,40
-286.83,1,antes,67.45,1.336,90.11,0.0,32,39
-285.83,1,antes,66.74,1.46,97.44,0.001,32,40
-284.83,1,antes,67.16,1.594,107.05,0.001,32,39
-283.83,1,antes,67.06,1.685,113.0,0.0,32,39
-282.83,1,antes,67.0,1.566,104.92,0.001,32,39
-281.83,1,antes,67.13,1.582,106.2,0.0,32,39
-280.83,1,antes,66.96,1.635,109.48,0.001,32,39
-279.83,1,antes,67.0,1.635,109.54,0.001,32,39
-278.83,1,antes,67.22,1.615,108.56,0.0,32,39
-277.83,1,antes,66.61,1.534,102.18,0.001,32,40
-276.83,1,antes,66.64,1.38,91.96,0.0,32,39
-275.83,1,antes,67.16,1.415,95.03,0.001,32,39
-274.83,1,antes,67.35,1.557,104.86,0.001,32,39
-273.83,1,antes,67.16,1.703,114.37,0.0,32,41
-272.83,1,antes,67.13,1.666,111.84,0.0,32,40
-271.83,1,antes,67.42,1.548,104.37,0.0,32,39
-270.83,1,antes,66.48,1.644,109.29,0.001,32,39
-269.83,1,antes,66.74,1.622,108.25,0.001,32,39
-268.83,1,antes,67.0,1.648,110.42,0.0,32,39
-267.83,1,antes,67.03,1.536,102.96,0.0,32,38
-266.83,1,antes,66.61,1.189,79.2,0.001,32,39
-265.83,1,antes,67.0,1.295,86.76,0.002,32,39
-264.83,1,antes,67.09,1.311,87.95,0.001,32,39
-263.83,1,antes,67.13,1.501,100.76,0.001,32,39
-262.83,1,antes,67.61,1.573,106.35,0.0,32,38
-261.83,1,antes,67.29,1.51,101.61,0.0,32,40
-260.83,1,antes,66.93,1.596,106.82,0.001,32,39
-259.83,1,antes,66.93,1.679,112.38,0.001,32,39
-258.83,1,antes,66.8,1.739,116.17,0.001,32,38
-257.83,1,antes,67.0,1.721,115.31,0.0,32,39
-256.83,1,antes,67.29,1.528,102.82,0.001,32,39
-255.83,1,antes,67.32,1.458,98.15,0.001,32,40
-254.83,1,antes,67.06,1.353,90.73,0.001,32,39
-253.83,1,antes,66.7,1.452,96.85,0.001,32,39
-252.83,1,antes,66.96,1.542,103.25,0.0,32,39
-251.83,1,antes,67.16,1.497,100.54,0.001,32,39
-250.83,1,antes,67.19,1.585,106.5,0.001,32,39
