anio,fertilizante_molH_ha,estiercol_molH_ha,deposicion_N_molH_ha,deposicion_S_molH_ha,mineralizacion_N_suelo_molH_ha,fijacion_biologica_N_molH_ha,acidez_total_molH_ha,acidez_total_sd_molH_ha,cal_alcalinidad_mol_ha,cal_alcalinidad_sd_mol_ha,exceso_acidez_molH_ha,acidez_acumulada_Tmol,exceso_acidez_acumulado_Tmol,fraccion_acidez_neutralizada_acum
1952,38.30045228202019,233.3106155008594,89.41120577387497,271.5953861926413,49.7370694921141,169.0247674959918,851.3794967375017,71.04662779938518,835.4375684110204,86.06886651497369,15.94192832648127,11.715805303645189,7.743267418601336,0.339075102571725
1953,44.63105431714709,235.3578352843564,89.50649434057496,281.5084256084907,49.7370694921141,170.1409186635581,870.8817977062412,71.39184311784061,734.0273863426571,74.50377984633568,136.8544113635841,11.997936231279981,7.787602783206058,0.3509214724026543
1954,53.00472679135721,237.3648124983755,93.7173767890519,280.7696668685545,49.7370694921141,167.2347090208955,881.8283614603487,70.46040941032705,721.1667833951966,72.11667835704486,160.6615780651521,12.283613408468382,7.8396507191879286,0.3617797582441634
1955,52.26770975807943,237.5452588099145,93.46615972180851,308.5095758859069,49.7370694921141,165.6597055920699,907.1854792598934,72.4208292235098,754.4788993186863,76.57960849398876,152.7065799412071,12.57750527929922,7.889121553425393,0.3727594321578413
1956,51.0629080024288,237.7593772447297,92.77220494353102,303.1384322452647,49.7370694921141,160.0254585998661,894.4954505279343,71.61469482306708,852.5888664782344,87.83583638824314,41.90658404969986,12.867286087541212,7.902697613302965,0.3858302706928405
1957,54.21923497429165,238.0050437424845,93.59370256018727,309.2184994351225,49.7370694921141,153.3466222240573,898.1201724282573,71.75939825247207,840.451917428312,86.58545825908291,57.66825499994536,13.15824116094162,7.921379825195632,0.3979909831179319
1958,59.41725854466755,238.2803044402805,97.33725537156283,329.8680882295421,49.7370694921141,149.5053335229058,924.1453096010728,73.66212367581305,920.1410185060197,93.39431375297,4.004291095053077,13.45762733958701,7.922677055616733,0.4112872309733714
1959,80.06982615110668,243.3391837398723,98.89108241568525,333.0380817360314,49.7370694921141,148.5198126399307,953.5950561747404,74.94526912690783,982.3791078925365,98.23791070613488,-28.78405171779605,13.76655406017657,7.913352172224268,0.425175527758559
1960,83.18265593285943,246.8463975902757,101.7635416435926,327.3067173071244,49.7370694921141,146.669725078407,955.5061070443733,75.18653095666718,1016.305114135828,103.1549688806581,-60.79900709145488,14.07609988493851,7.893655721666724,0.4392157070359407
1961,92.51834839322075,250.3135296728396,86.06746058299103,327.3653780216826,43.83933091903103,123.5146044499741,923.6186520397391,72.45423965734263,961.0614362133836,99.010951767138,-37.44278417364444,14.37531544756377,7.881525754706841,0.4517319787898954
1962,110.8797000338259,253.7440541889002,94.42971051185405,342.229723627099,46.87087899108194,128.7771284287172,976.9311957814782,75.16140985962106,954.585341493723,98.34376790397984,22.34585428775517,14.69180214556015,7.888764919212979,0.4630498803989847
1963,136.7645586614033,264.3937465082644,103.4403022762729,360.1413447708923,49.76462900214198,136.6448650707041,1051.149446289679,78.92495844316959,1031.121952010521,104.6588780207056,20.02749427915796,15.03233259314282,7.895253027649809,0.4747819090131548
1964,153.461676923937,255.829645397987,113.350092042472,379.6333819467603,52.65837905318652,143.9404381360828,1098.873613500426,81.11157920194678,1022.034957783997,102.2034957044432,76.8386557164282,15.38832376524773,7.920145683889248,0.4853145927579369
1965,175.7723170551186,249.6750525270308,129.4478557473072,397.7062696844276,55.55212929538884,150.9634522690446,1159.117076578318,84.6602315964667,961.1790186834321,97.55967015143949,197.9380578948856,15.76383141383299,7.984269710864205,0.4935070351070938
1966,211.7513012887448,243.6223958280083,133.5032923171007,435.7081702537344,57.75689153666456,155.0448889036601,1237.386940127913,91.82120031971058,918.1799282006488,94.59319147794702,319.2070119272643,16.16469537284666,8.087680036605043,0.4996701236825861
