anio,potencial_cdr_GtCO2,potencial_cdr_sd_GtCO2,scepter_P_cdr_GtCO2,scepter_PET_cdr_GtCO2,scepter_incert_min_GtCO2,scepter_incert_max_GtCO2,rio_cdr_GtCO2,rio_cdr_sd_GtCO2,IPCC_emision_acum_GtCO2,EEUU_emision_acum_GtCO2
2000,0.36802192,0.03977862,0.289049957839967,0.136730157257815,0.11042029,0.32188622,0.228909923408883,0.0750950143100102,0.3680219158387679,0.1809943848387383
2001,0.37300912,0.04039292,0.294386922345984,0.14153069792965,0.11468835,0.32774396,0.235836480875436,0.0759647841001321,0.3730091247317713,0.183447110523822
2002,0.37798499,0.04101502,0.300101406073037,0.14725451915672,0.11981204,0.33402869,0.242213423405681,0.0770809543442087,0.3779849880634691,0.185894256424657
2003,0.38325113,0.04168328,0.304205287437064,0.150843834708891,0.12304372,0.33853156,0.248590365935926,0.0780484758640694,0.3832511315310659,0.1884841630480652
2004,0.38773333,0.0422606,0.310756771424673,0.158053322202772,0.12945672,0.34577873,0.258264998084021,0.0789891929064261,0.3877333261426088,0.190688521053742
2005,0.39276037,0.0429178,0.315421672159334,0.161523980379668,0.13260346,0.35093037,0.267206810317038,0.0802456880943743,0.3927603714800977,0.1931608384328349
2006,0.39762984,0.04356396,0.320607858604424,0.166306273181272,0.13690511,0.35666996,0.269736448293124,0.0812906128477849,0.3976298413983351,0.1955556597040992
2007,0.40282762,0.04426402,0.326093610111172,0.172425266112688,0.14239802,0.36274493,0.279594285419989,0.0824541696945917,0.402827618753114,0.1981119436490724
2008,0.40863014,0.04505726,0.331958187181747,0.180570603684291,0.14969814,0.36924457,0.299711601357943,0.0836871788907983,0.4086301364821253,0.2009656408928485
2009,0.41507904,0.04595209,0.337623546061389,0.188310440891578,0.15664058,0.37552785,0.319828917295897,0.0847274240805055,0.4150790441281001,0.2041372348170984
2010,0.42052864,0.0467196,0.342137530664119,0.190619394115957,0.15875275,0.38055078,0.34397674276678,0.0857195171413683,0.4205286365681402,0.2068173622466263
2011,0.42370611,0.04717382,0.349229204158777,0.199348304633066,0.16649541,0.38851801,0.366475723428737,0.0871320435050583,0.4237061070946287,0.2083800526694895
2012,0.43051389,0.04816159,0.350597525255168,0.199545535482607,0.16676423,0.38998339,0.369554976341131,0.0882614539337481,0.4305138885931667,0.2117281419310656
2013,0.43502524,0.04882598,0.35597002755126,0.206325269650067,0.17279404,0.39600209,0.378679993552918,0.0895373873283988,0.4350252438706791,0.213946841247875
2014,0.43918984,0.0494485,0.361054931316419,0.210288716272701,0.17633475,0.40171166,0.386888985870857,0.0902624573545879,0.4391898363524989,0.2159950014848355
2015,0.44355222,0.05011037,0.36757806675624,0.218398201456719,0.18354512,0.40905686,0.400960537509419,0.0914380538776948,0.4435522230613285,0.2181404375711452
