paso_modelo,anio,P|solo_acidez|acid_best|sin_cal,P|acidez_cal|acid_best|cal_best,PET|solo_acidez|acid_best|sin_cal,PET|acidez_cal|acid_best|cal_best,P|solo_acidez|acid_+1sd|sin_cal,P|solo_acidez|acid_-1sd|sin_cal,PET|solo_acidez|acid_+1sd|sin_cal,PET|solo_acidez|acid_-1sd|sin_cal,P|acidez_cal|acid_+1sd|cal_best,P|acidez_cal|acid_-1sd|cal_best,PET|acidez_cal|acid_+1sd|cal_best,PET|acidez_cal|acid_-1sd|cal_best,P|acidez_cal|acid_+1sd|cal_+1sd,P|acidez_cal|acid_-1sd|cal_-1sd,PET|acidez_cal|acid_+1sd|cal_+1sd,PET|acidez_cal|acid_-1sd|cal_-1sd,P|acidez_cal|acid_+1sd|cal_-1sd,P|acidez_cal|acid_-1sd|cal_+1sd,PET|acidez_cal|acid_+1sd|cal_-1sd,PET|acidez_cal|acid_-1sd|cal_+1sd
31,1930,8.830860979589,8.7586152308422,6.545083549594551,6.941042033776601,9.832609777973202,7.8261903816979,7.27237984637995,5.80342952311395,9.76319814860645,7.7513064922755,7.67922612682875,6.191054253951301,9.740208730053451,7.775422439603801,7.725607659661651,6.14706179883065,9.786541614785053,7.72756543987295,7.6326618973585,6.233836439020051
32,1931,9.874893982346602,9.259702838458,7.851444375087651,7.753229232122901,10.985411749470602,8.7631223669638,8.72198092647025,6.96765710897285,10.37276566176415,8.1455940017568,8.631975179206052,6.8599874315288005,10.270247045440952,8.2486232515066,8.59979097904465,6.889088612181951,10.47565035791025,8.04218344929805,8.6598836143902,6.82822573577025
33,1932,9.9988963642088,9.20343280666915,8.05895436070865,7.76633845191165,11.112963977211352,8.88448012555105,8.9255928894544,7.1704132456162,10.31963323006545,8.086784216930551,8.6469742901514,6.86827493528995,10.1925335784189,8.214310919161301,8.5954461631619,6.9297932495861,10.44680842401875,7.958705745593551,8.7064838216267,6.806709658456351
34,1933,11.257179354701,10.205812956538452,10.82992810918575,10.107092395272852,12.500167516813551,10.01374909075525,12.063790038887102,9.601517169748702,11.451336712790653,8.95984960699455,11.350403859974302,8.86980426878415,11.286547950279,9.1244738003819,11.2208005474813,8.999352697029702,11.615410562979552,8.79469961890785,11.4751830271153,8.736121557301951
35,1934,9.794708717356102,9.189421739805452,7.3387540764861505,7.2342345638445,10.8475190100013,8.740929392733252,8.115020668121051,6.547818585986301,10.24495957402455,8.134010806979601,8.023271823387502,6.434827979553301,10.14637993117795,8.2328289637124,7.991579416185751,6.472430792189851,10.3431517792379,8.03509608900285,8.0501399928173,6.401684394296651
36,1935,10.8231892381163,10.243225599724552,9.54030566328085,9.2960213086532,11.981841190005,9.66440410907965,10.57061310640505,8.499945750605601,11.40399603691475,9.0830430810439,10.3416804272282,8.2443437149152,11.30741666105075,9.179582047385,10.28165806625225,8.306047837320351,11.499356239605,8.98724203519215,10.3990069290693,8.182420442803851
37,1936,9.208374642226053,9.36918656108635,8.296567737722501,8.644126030519,10.172831277831351,8.243329678822851,9.1653440499355,7.420435466433901,10.3346960315592,8.4026689473932,9.5204269198059,7.7594349236989,10.341084745442853,8.396531237291851,9.546848885717102,7.73630167769895,10.32844192513225,8.40850836990545,9.5001267897694,7.774391965963201
38,1937,9.76006014802985,10.04879272016015,7.8182304186405,8.4362037727039,10.780795322460351,8.738748457951251,8.6214085818741,7.008464790220301,11.0709365022562,9.026084155348702,9.2512599327514,7.6131439129579,11.09139977110825,9.005424357673451,9.3070016524975,7.556459091631551,11.05016702410505,9.046482941481347,9.19055053507,7.673739810138801
39,1938,10.3144145439469,10.141957724589451,8.9699480664731,9.23949829265455,11.38517532142835,9.24425138906975,9.8916252676034,8.0294641448774,11.2151847592433,9.0689310211796,10.1762671743125,8.2829976372469,11.173478976129353,9.111079495854051,10.18290257024555,8.278114351928801,11.25685823938425,9.0271884945341,10.1669403994117,8.2821967259602
40,1939,9.3919452774394,9.52396859752125,7.806998947787301,8.48589512360235,10.352503529529953,8.430295862607752,8.6204000513702,6.990531050998801,10.4890782680923,8.5589752088511,9.309186592144,7.652131207252101,10.487152126310551,8.56134788862365,9.37136595553585,7.5960665369931,10.49062730127045,8.5560635755387,9.2460374398111,7.7090509732942
41,1940,10.885854536803352,11.37050317906325,10.4243027446869,11.538558617127602,11.9987814587735,9.773301739592702,11.50744640476815,9.336869971547053,12.48954523426125,10.25211294856975,12.6381917962774,10.43051555259905,12.5258715601522,10.21671065054175,12.74293978863925,10.33036184837165,12.4527420390321,10.286850936398102,12.53756606815775,10.530669472473
42,1941,11.059758947441452,12.068121370259052,9.1174690371163,11.4249657846966,12.1769160009383,9.9429345969627,10.04328048627565,8.17475320453475,13.19294426692385,10.942672324032053,12.3699007743109,10.46399489073215,13.2887978425148,10.84839297265705,12.62610742571515,10.21610848615705,13.097355795759,11.0355586647083,12.11963031790845,10.7126353848869
43,1942,11.009382799921102,11.902384013781552,9.650501481623952,12.04387886041065,12.106230199725651,9.9127972258349,10.6112297160073,8.680456334868751,13.01150899465525,10.794411932175551,13.03902301229945,11.0419931880805,13.08455679013385,10.7217459235104,13.2890245706569,10.7953369282475,12.9362087445562,10.865223618162,12.783742659648352,11.28561519973315
44,1943,10.2823362834539,11.15976593279775,7.98617813905265,10.79024321150515,11.28821385508535,9.2761136377339,8.7700054439619,7.19492332882365,12.18109176752965,10.13857305956725,11.59437957597845,9.9761777185055,12.246749461362551,10.0726025065998,11.8950273197473,9.678140763508,12.1114547567115,10.201284242559,11.292481764366851,10.270000275372553
