rho_x,rho_y,mse
0.3,0.16,0.0015369971375291608
0.32,0.16,0.0015219943964945785
0.34,0.16,0.0015196149630562375
0.36,0.16,0.0015123456581987989
0.38,0.16,0.0015023012888312278
0.4,0.16,0.0015105640874991438
0.42,0.16,0.0015118483877290733
0.44,0.16,0.0014914840020091645
0.46,0.16,0.0015098055048451242
0.48,0.16,0.0015060214082512817
0.5,0.16,0.001517707256408572
0.52,0.16,0.0015350705386840608
0.54,0.16,0.0015226111070870327
0.56,0.16,0.0015392997274837068
0.58,0.16,0.0015858595867981882
0.6,0.16,0.0015667868237214397
0.62,0.16,0.0015825535367200196
0.64,0.16,0.0016108831007892765
0.66,0.16,0.0016820517411595514
0.68,0.16,0.0016731799320605719
0.7,0.16,0.0017606301964517518
0.72,0.16,0.0017501090574224276
0.74,0.16,0.0018040012476713938
0.76,0.16,0.001825128716767701
0.78,0.16,0.001841375746268623
0.8,0.16,0.0019269083072834723
0.0,0.18,0.0016588417239276714
0.02,0.18,0.0016199319142907156
0.04,0.18,0.0016318216789500673
0.06,0.18,0.0016172789922931348
0.08,0.18,0.0016014664719850931
0.1,0.18,0.0016135847356319312
0.12,0.18,0.0015881665434620872
0.14,0.18,0.0015926552779795182
0.16,0.18,0.00158567425412612
0.18,0.18,0.0015525809711532735
0.2,0.18,0.001568596340887023
0.22,0.18,0.0015472544046801135
0.24,0.18,0.0015430526264177688
0.26,0.18,0.0015342341117699802
0.28,0.18,0.0015385091886413746
0.3,0.18,0.0015420871485500053
0.32,0.18,0.0015235672034504594
0.34,0.18,0.0015128737506843895
0.36,0.18,0.0015001031326010838
0.38,0.18,0.001499425094999405
0.4,0.18,0.0015091233366349127
0.42,0.18,0.0015119888388009707
0.44,0.18,0.0015105039101324866
0.46,0.18,0.0015062913949296687
0.48,0.18,0.0015276437091081222
0.5,0.18,0.0015007329982350587
0.52,0.18,0.0015325503369834103
0.54,0.18,0.0015394729157665484
0.56,0.18,0.0015247758730868143
0.58,0.18,0.001539829630787095
0.6,0.18,0.0015848325070625291
0.62,0.18,0.001597402468502442
0.64,0.18,0.001585995349458622
0.66,0.18,0.0016467304362606204
0.68,0.18,0.001650822584803576
0.7,0.18,0.0016959421639354856
0.72,0.18,0.0017371049275612892
0.74,0.18,0.001854323583761043
0.76,0.18,0.0017720781710021311
0.78,0.18,0.0018934672813397404
0.8,0.18,0.001896558301398544
0.0,0.2,0.0016567593938619115
0.02,0.2,0.001620636831445363
0.04,0.2,0.0016095360076647796
0.06,0.2,0.0016254040728653028
0.08,0.2,0.0016074810584680943
0.1,0.2,0.0016035982660524586
0.12,0.2,0.0015947349138844317
0.14,0.2,0.0015662743837918914
0.16,0.2,0.001590040410575372
0.18,0.2,0.0015933280894879004
0.2,0.2,0.0015440288034812215
0.22,0.2,0.0015424270497642093
0.24,0.2,0.0015539511011422001
0.26,0.2,0.0015404017960564671
0.28,0.2,0.001534632922727549
0.3,0.2,0.0015515214220617327
0.32,0.2,0.001505211433820396
0.34,0.2,0.0015082082466532994
0.36,0.2,0.001519653932633328
0.38,0.2,0.00150263955939847
0.4,0.2,0.0014861502631539707
0.42,0.2,0.0015058615871772307
0.44,0.2,0.0015028720842525595
0.46,0.2,0.001502294708481586
0.48,0.2,0.00153189989345154
0.5,0.2,0.0014976690580978205
0.52,0.2,0.0015190889708514995
0.54,0.2,0.0015142744043452493
