time_s,disp_mm
1728,4.8733
1729,4.87353
1730,4.87381
1731,4.87406
1732,4.87423
1733,4.87427
1734,4.8742
1735,4.87403
1736,4.8738
1737,4.87358
1738,4.87342
1739,4.87335
1740,4.87342
1741,4.87357
1742,4.87379
1743,4.874
1744,4.87416
1745,4.87421
1746,4.87414
1747,4.87396
1748,4.87371
1749,4.87344
1750,4.87322
1751,4.87309
1752,4.87309
1753,4.87321
1754,4.87341
1755,4.87365
1756,4.87387
1757,4.874
1758,4.87402
1759,4.87392
1760,4.87372
1761,4.87348
1762,4.87325
1763,4.87308
1764,4.87303
1765,4.8731
1766,4.87328
1767,4.87353
1768,4.87377
1769,4.87396
1770,4.87406
1771,4.87404
1772,4.8739
1773,4.87369
1774,4.87346
1775,4.87327
1776,4.87317
1777,4.87319
1778,4.87333
1779,4.87354
1780,4.8738
1781,4.87403
1782,4.87418
1783,4.87422
1784,4.87415
1785,4.87397
1786,4.87376
1787,4.87354
1788,4.87339
1789,4.87334
1790,4.8734
1791,4.87356
1792,4.87378
1793,4.87399
1794,4.87414
1795,4.87419
1796,4.87412
1797,4.87395
1798,4.87371
1799,4.87345
1800,4.87324
