station,lat,lon,step_mm,p2p_mm,rise_time_s,dist_km
0367,34.0382,135.964,0.046,0.2976,,899.4
0368,34.2561,135.358,0.0533,0.2845,,924.8
0369,34.2715,135.066,0.0406,0.281,,944.4
0370,34.2218,135.59,0.0438,0.2862,,911.1
0371,33.9617,135.385,0.0446,0.2703,,944.4
0372,33.9139,135.18,0.0454,0.2653,,962.1
0373,33.8152,135.782,0.0441,0.2633,,928.6
0374,33.7855,135.508,0.0346,0.2499,,949.3
0375,33.7443,135.396,0.0442,0.2477,,960.0
0376,33.5839,135.921,0.0289,0.2544,,937.6
0377,33.5056,135.599,0.0397,0.2616,,964.8
0378,35.4568,134.047,0.0843,0.2788,,945.8
0379,35.3455,133.439,0.0576,0.2516,,999.7
0380,35.2659,134.237,0.0601,0.2723,,941.9
0381,35.1646,133.309,0.0551,0.2606,,1020.0
0382,36.2853,133.24,0.083,0.2747,,968.9
0383,36.0932,132.984,0.0446,0.2401,,998.6
0384,35.3926,132.743,0.0424,0.2306,,1052.6
0385,35.1956,132.995,0.0413,0.2422,,1043.0
0386,35.186,132.507,0.0548,0.2381,,1082.3
0387,35.0198,132.721,0.0418,0.2432,,1074.4
0388,34.7673,131.923,0.0416,0.2315,,1151.5
0389,35.2635,133.792,0.0644,0.2667,,976.6
0390,35.0996,134.32,0.0561,0.2679,,945.4
0391,35.0209,134.235,0.0547,0.2696,,956.6
0392,35.003,133.734,0.0526,0.2631,,996.2
0393,34.9825,133.961,0.0537,0.2642,,979.9
0394,34.8097,133.598,0.0368,0.2683,,1018.1
0395,34.7914,133.929,0.0554,0.256,,994.0
0396,34.6577,134.166,0.038,0.2754,,984.4
0397,34.4386,133.797,0.0385,0.2632,,1026.0
0398,34.9435,133.12,0.0383,0.2461,,1047.3
0399,34.7269,132.277,0.0338,0.2227,,1125.8
0400,34.6788,132.54,0.0352,0.2222,,1107.9
0401,34.6725,133.108,0.0432,0.2443,,1064.1
0402,34.5713,132.824,0.0363,0.234,,1092.1
0403,34.5392,132.463,0.037,0.2253,,1122.0
0405,34.3787,133.01,0.0353,0.2324,,1089.4
0407,34.4399,131.417,0.0372,0.2132,,1209.8
0408,34.2946,130.943,0.0204,0.2046,,1255.5
0409,34.2837,131.563,0.0346,0.2057,,1207.2
0410,34.2591,131.953,0.0343,0.2177,,1178.2
0411,34.1895,131.346,0.0256,0.2044,,1229.7
0412,34.0572,131.531,0.0287,0.1985,,1223.0
0413,33.9777,131.286,0.0326,0.1951,,1246.8
0414,33.9751,132.104,0.0342,0.21,,1183.7
0415,34.097,134.352,0.0448,0.2734,,1007.8
0416,34.0599,134.56,0.0458,0.2696,,995.3
0417,34.0515,134.049,0.0238,0.2599,,1032.9
0418,34.0384,134.23,0.037,0.2709,,1020.6
0419,33.9367,133.681,0.0384,0.2403,,1067.6
0420,33.8789,134.389,0.0442,0.2605,,1020.3
0421,33.8775,134.058,0.0391,0.2616,,1044.2
0422,33.8302,134.668,0.0449,0.2647,,1004.0
0423,33.7251,134.533,0.0277,0.2466,,1021.0
0424,33.6185,134.372,0.0292,0.2396,,1040.1
0425,34.4724,134.314,0.0427,0.2712,,985.3
0426,34.2546,134.242,0.0451,0.2688,,1005.1
0427,34.2174,133.715,0.038,0.259,,1046.5
0428,34.0681,133.648,0.0365,0.2624,,1061.3
0429,34.1642,133.926,0.0372,0.2538,,1034.3
0430,34.0779,132.99,0.0381,0.2333,,1109.8
0431,33.9387,133.538,0.0374,0.2461,,1078.0
0432,33.9212,133.201,0.0306,0.2472,,1104.1
0433,33.7965,132.912,0.0314,0.2293,,1133.9
0434,33.7226,132.684,0.0297,0.2212,,1155.7
0435,33.5692,132.938,0.03,0.2243,,1147.0
0436,33.4468,132.693,0.0279,0.218,,1173.3
0437,32.9639,132.562,0.0213,0.1817,,1216.0
0438,33.767,133.656,0.0444,0.2428,,1080.9
0439,33.6542,133.805,0.0281,0.2435,,1077.9
0440,33.6038,134.107,0.0351,0.2408,,1059.9
0441,33.5278,134.281,0.0174,0.2386,,1053.0
0442,33.5057,133.904,0.0278,0.2349,,1081.3
0443,33.4684,133.281,0.0294,0.2295,,1128.8
0444,33.4278,134.007,0.0077,0.2297,,1079.6
0445,33.4077,133.403,0.0232,0.2254,,1124.1
0447,33.1716,132.793,0.0224,0.2101,,1184.8
0448,32.9912,132.999,0.0247,0.2016,,1182.6
0449,32.8406,132.704,0.0174,0.1881,,1214.5
0450,33.5361,130.251,0.0204,0.1822,,1353.9
0451,33.5004,130.522,0.024,0.1754,,1334.9
0452,33.4655,130.829,0.0204,0.1859,,1313.2
0453,33.2059,130.565,0.0146,0.1753,,1349.7
0454,33.2749,130.269,0.0136,0.1681,,1368.3
0455,33.0985,130.094,0.0184,0.1682,,1392.7
0456,34.6556,129.482,0.0291,0.1878,,1354.0
0457,34.2682,129.312,0.0299,0.1901,,1387.7
0458,33.7427,129.735,0.0265,0.1882,,1382.6
0459,33.3622,129.537,0.0232,0.1802,,1420.3
0460,33.0631,129.691,0.0151,0.1766,,1426.2
0461,32.8707,130.271,0.0089,0.1798,,1393.4
0462,32.6694,128.843,0.0156,0.1882,,1516.4
0463,32.6369,130.155,0.0358,0.1872,,1417.3
0464,32.9335,130.548,0.0169,0.1925,,1368.2
0465,32.8421,130.765,0.0192,0.1819,,1357.6
0466,32.7407,131.099,0.0232,0.1819,,1339.2
0467,32.3262,129.987,0.0203,0.1804,,1450.3
0468,32.2992,130.507,0.0141,0.1699,,1413.1
0469,32.2387,130.803,0.017,0.1798,,1395.2
0470,33.6712,131.564,0.0304,0.2053,,1243.9
0471,33.4962,131.169,0.0258,0.1891,,1285.1
0472,33.254,131.347,0.017,0.1887,,1286.9
0473,33.2394,131.798,0.0276,0.1865,,1253.8
0474,33.009,131.286,0.0143,0.185,,1307.4
0475,32.9869,131.588,0.024,0.1799,,1286.2
0476,32.704,131.757,0.0231,0.1788,,1292.9
0477,32.6848,131.328,0.0177,0.1945,,1325.9
0478,32.4566,131.149,0.0096,0.1785,,1354.7
0479,32.2459,131.185,0.0145,0.1756,,1366.6
0480,32.1704,131.516,0.0176,0.1741,,1347.8
0481,31.965,131.079,0.0092,0.169,,1394.0
0482,31.7403,131.022,0.0116,0.1695,,1414.2
0483,31.6765,131.369,0.0172,0.1782,,1394.0
0484,31.4694,131.217,0.0106,0.1681,,1420.0
0485,32.0575,130.598,0.0146,0.1735,,1422.8
0486,31.8555,130.76,0.0068,0.1601,,1425.0
0487,31.7687,129.795,0.0155,0.1903,,1502.2
0488,31.7174,130.278,0.0228,0.1851,,1470.0
0489,31.6174,130.836,0.0156,0.165,,1436.5
0490,31.2352,130.64,0.0148,0.176,,1478.3
0491,31.1062,130.723,0.0131,0.1833,,1481.9
0492,30.5309,130.964,0.007,0.1857,,1508.6
0493,30.3817,130.638,0.0074,0.1918,,1542.6
0494,28.3991,129.489,0.0058,0.167,,1777.7
0495,27.0322,128.432,0.0027,0.1602,,1960.1
0496,26.6948,127.898,0.0044,0.1487,,2023.4
0497,25.8312,131.228,0.0052,0.1744,,1893.3
0498,24.7531,125.374,0.0045,0.1401,,2353.0
0499,24.4542,122.943,0.0004,0.143,,2545.6
0500,24.4263,123.792,0.0044,0.1351,,2488.2
0501,45.1377,141.167,0.0386,0.2801,,672.1
0502,44.582,142.964,0.001,0.1909,,582.8
0503,44.2197,143.616,-0.0252,0.1918,,540.4
0504,44.1919,143.077,0.0164,0.1894,,538.8
0505,43.9888,144.293,0.0248,0.1417,,518.2
0506,43.9084,142.578,0.0195,0.225,,512.4
0507,43.8281,144.115,0.0473,0.1827,,498.9
0508,43.7385,142.41,0.0352,0.234,,496.3
0509,43.7408,141.874,0.0288,0.2632,,507.1
0510,43.7714,142.903,0.0149,0.1981,,493.6
0511,43.6705,143.578,0.009,0.1902,,479.3
0512,43.2321,145.259,-0.0125,0.1638,,453.1
