reach_id,continente,n_nodos,n_marea,n_probable_marea,n_sin_marea,n_probable_sin_marea,pct_tidal,amplitud_media_m,amplitud_max_m,amplitud_mediana_m,es_tidal
12305000016,África,1,1,0,0,0,100.0,2.0235,2.0235,2.0235,sí
12305000023,África,12,12,0,0,0,100.0,1.8757,2.0153,1.8963,sí
12306100013,África,58,58,0,0,0,100.0,0.9130,1.1495,0.9454,sí
12306100021,África,57,1,40,0,16,71.9,0.4864,0.4864,0.4864,sí
12306100031,África,56,0,0,0,56,0.0,,,,no
12306100041,África,54,0,0,0,54,0.0,,,,no
12306100051,África,53,0,0,12,41,0.0,,,,no
12306100061,África,53,0,0,53,0,0.0,,,,no
12306100071,África,54,0,0,54,0,0.0,,,,no
12306100081,África,64,0,0,64,0,0.0,,,,no
12306100091,África,90,0,0,90,0,0.0,,,,no
12306100101,África,51,0,0,51,0,0.0,,,,no
12306100111,África,51,0,0,51,0,0.0,,,,no
12306100121,África,51,0,0,51,0,0.0,,,,no
12306100131,África,51,0,0,51,0,0.0,,,,no
12306100141,África,51,0,0,51,0,0.0,,,,no
12306100151,África,90,0,0,90,0,0.0,,,,no
12306100161,África,87,0,0,87,0,0.0,,,,no
12306100171,África,93,0,0,93,0,0.0,,,,no
12306100181,África,92,0,0,92,0,0.0,,,,no
12306100191,África,92,0,0,92,0,0.0,,,,no
12306100201,África,54,0,0,54,0,0.0,,,,no
12306100211,África,54,0,0,54,0,0.0,,,,no
12306100221,África,96,0,0,96,0,0.0,,,,no
12306100231,África,96,0,0,96,0,0.0,,,,no
12306100241,África,95,0,0,95,0,0.0,,,,no
12306100251,África,94,0,0,94,0,0.0,,,,no
12306100261,África,74,0,0,74,0,0.0,,,,no
12306100271,África,51,0,0,51,0,0.0,,,,no
12307000016,África,1,1,0,0,0,100.0,1.1495,1.1495,1.1495,sí
12309000016,África,1,1,0,0,0,100.0,0.4624,0.4624,0.4624,sí
12410000015,África,98,98,0,0,0,100.0,0.4913,0.5222,0.4931,sí
12410000025,África,98,98,0,0,0,100.0,0.4932,0.5285,0.4961,sí
12410000035,África,98,98,0,0,0,100.0,0.4868,0.5158,0.4866,sí
12410000045,África,98,98,0,0,0,100.0,0.4599,0.5149,0.4582,sí
12410000055,África,98,64,34,0,0,100.0,0.3693,0.3876,0.3759,sí
12410000065,África,98,0,98,0,0,100.0,,,,sí
12410000075,África,97,0,74,0,23,76.3,,,,sí
12520100016,África,1,1,0,0,0,100.0,0.7061,0.7061,0.7061,sí
12520100025,África,2,2,0,0,0,100.0,0.7061,0.7061,0.7061,sí
12520100033,África,22,15,7,0,0,100.0,0.7177,0.7373,0.7061,sí
12520100043,África,60,0,60,0,0,100.0,,,,sí
12520100053,África,59,0,59,0,0,100.0,,,,sí
