outcome,organ,n_cases,n,beta,se,hr,ci_lower,ci_upper,p_value,outcome_label,organ_label
death,Intestine,4600,43616,0.282538693370807,0.0202067079978674,1.32649310059318,1.27498482100942,1.38008226994281,1.99582132787433e-44,All-cause mortality,Intestine
death,Kidney,4600,43616,0.13454940314214,0.0197868406741935,1.14402117584709,1.10050361632434,1.18925956386938,1.04660022895387e-11,All-cause mortality,Kidney
death,Liver,4600,43616,0.164097515947056,0.0185449511604604,1.17832921537971,1.13626899038215,1.22194634507309,8.85957013434818e-19,All-cause mortality,Liver
death,Lung,4600,43616,0.158075005121845,0.0178807833239905,1.17125404146524,1.13091757194346,1.21302919300404,9.52940434686377e-19,All-cause mortality,Lung
death,Muscle,4600,43616,0.14534556711513,0.0184005054887072,1.15643912856042,1.11547602165878,1.19890650457629,2.8115303697754e-15,All-cause mortality,Muscle
death,Pancreas,4600,43616,0.29130554363061,0.0189876164971613,1.33817339184906,1.28928847849183,1.38891183511353,4.01461396035289e-53,All-cause mortality,Pancreas
copd,Organismal,1877,42590,0.185453758848319,0.0287595417859608,1.20376453502969,1.13778807523757,1.27356674527695,1.1301819209653e-10,COPD,Organismal
copd,Artery,1877,42590,0.125241807562418,0.031573875229005,1.13342249006289,1.06540834612107,1.20577855960816,7.289673101236e-05,COPD,Artery
copd,Brain,1877,42590,0.245914683970254,0.0302587296508957,1.27879046756199,1.20515557155788,1.35692444902652,4.39807014048062e-16,COPD,Brain
copd,Heart,1877,42590,0.0694379008263177,0.0278437976838125,1.07190549469244,1.01497609467618,1.13202803058965,0.0126370459514859,COPD,Heart
copd,Immune,1877,42590,0.0526902468509838,0.029187591653388,1.05410308279583,0.995493801929545,1.11616296053876,0.0710390692746539,COPD,Immune
copd,Intestine,1877,42590,0.222102048318838,0.0313917171801771,1.24869879897579,1.17418631898806,1.32793975312825,1.49254940192958e-12,COPD,Intestine
copd,Kidney,1877,42590,0.0805889071045593,0.0307247036496201,1.08392521101052,1.02057847053527,1.15120384858599,0.00871758480139534,COPD,Kidney
copd,Liver,1877,42590,0.157909166279353,0.0291961651864442,1.17105981815607,1.10592903128239,1.24002631173316,6.35340486996076e-08,COPD,Liver
copd,Lung,1877,42590,0.0545416213171669,0.0280748234855688,1.05605642995863,0.999516095532684,1.11579512150088,0.052049566779913,COPD,Lung
copd,Muscle,1877,42590,0.141749098882513,0.0288385582220113,1.152287502043,1.08896375808466,1.21929355087066,8.86633410156613e-07,COPD,Muscle
copd,Pancreas,1877,42590,0.351013107131863,0.0302446636220858,1.4205059445489,1.33874774143457,1.50725717478075,3.85130476213631e-31,COPD,Pancreas
mi,Organismal,1671,42471,0.249978849462514,0.0294607248761334,1.28399825914723,1.21195758328712,1.36032114673649,2.15429332498886e-17,Myocardial infarction,Organismal
mi,Artery,1671,42471,0.182857642155095,0.0323082103616064,1.20064347489669,1.12697236447734,1.27913052639988,1.51559534010399e-08,Myocardial infarction,Artery
mi,Brain,1671,42471,0.213990687678442,0.0307873047864766,1.23861112039471,1.16608114614822,1.31565244205605,3.63698417817379e-12,Myocardial infarction,Brain
mi,Heart,1671,42471,0.20137298626056,0.0295158302767902,1.22308087912063,1.15433338550006,1.29592269933564,8.94435826951979e-12,Myocardial infarction,Heart
mi,Immune,1671,42471,0.138447104040547,0.0302740943664257,1.14848892953957,1.08232442031735,1.21869819853848,4.80511899258129e-06,Myocardial infarction,Immune
