masa_final_source_Msun,espin_final,masa_1_source_Msun,masa_2_source_Msun
62.458,0.6811,34.243,31.347
64.180,0.6815,33.864,33.549
63.534,0.6801,34.959,31.754
61.821,0.6576,33.439,31.382
63.182,0.6771,33.248,33.093
61.747,0.6814,33.831,31.012
62.931,0.6783,34.614,31.461
62.610,0.6765,32.899,32.833
62.856,0.6778,33.300,32.702
63.585,0.6815,34.055,32.732
61.892,0.6637,33.266,31.645
63.607,0.6773,35.130,31.643
62.631,0.6825,33.424,32.369
61.943,0.6777,33.360,31.676
63.827,0.6840,34.508,32.539
62.411,0.6810,33.773,31.778
63.078,0.6659,34.814,31.341
63.397,0.6846,33.315,33.295
62.950,0.6697,34.167,31.883
61.814,0.6723,33.555,31.264
61.864,0.6771,32.877,32.079
62.337,0.6719,33.922,31.504
61.444,0.6724,32.785,31.702
62.022,0.6701,33.998,31.078
62.618,0.6779,32.994,32.750
62.747,0.6705,35.185,30.648
63.348,0.6760,33.914,32.594
61.716,0.6745,33.115,31.670
60.964,0.6636,32.645,31.279
62.883,0.6803,33.067,32.979
63.524,0.6767,33.488,33.208
62.420,0.6747,33.547,31.977
61.680,0.6874,32.690,32.124
63.006,0.6819,33.956,32.233
62.149,0.6792,32.771,32.498
62.928,0.6588,33.282,32.698
61.075,0.6682,32.885,31.190
62.049,0.6707,33.075,32.037
61.802,0.6828,34.465,30.439
61.335,0.6619,33.357,30.945
61.986,0.6706,33.714,31.336
63.394,0.6767,34.887,31.667
62.429,0.6923,33.379,32.265
62.355,0.6748,33.282,32.175
62.371,0.6789,33.378,32.119
62.912,0.6791,33.478,32.590
62.887,0.6760,35.283,30.726
61.717,0.6755,33.231,31.559
63.273,0.6850,33.443,33.040
61.724,0.6788,33.467,31.348
61.459,0.6603,33.127,31.312
63.162,0.6750,33.286,33.020
62.120,0.6698,32.786,32.397
61.943,0.6752,33.462,31.577
63.182,0.6797,34.735,31.607
63.117,0.6850,34.898,31.407
62.964,0.6679,33.184,32.873
62.821,0.6773,33.616,32.343
61.244,0.6665,33.511,30.725
62.866,0.6642,33.371,32.564
61.193,0.6608,32.292,31.859
62.746,0.6826,33.052,32.865
62.427,0.6644,32.798,32.688
63.006,0.6874,33.198,33.011
62.125,0.6848,33.519,31.750
62.547,0.6813,33.342,32.350
63.209,0.6688,34.138,32.180
62.077,0.6795,32.707,32.481
62.128,0.6685,33.777,31.397
61.871,0.6791,32.991,31.984
62.542,0.6710,33.450,32.179
63.162,0.6879,34.079,32.302
62.405,0.6770,33.322,32.201
63.048,0.6784,33.899,32.306
64.238,0.6867,34.034,33.473
62.522,0.6817,33.960,31.711
63.541,0.6873,35.172,31.598
63.085,0.6835,33.382,32.893
62.131,0.6808,34.585,30.663
63.745,0.6837,33.688,33.284
62.436,0.6639,33.338,32.141
63.372,0.6853,33.608,32.980
62.024,0.6713,32.836,32.261
62.758,0.6772,34.496,31.392
62.872,0.6792,35.041,30.975
63.567,0.6798,33.851,32.908
63.606,0.6753,35.613,31.145
62.201,0.6761,33.071,32.233
62.349,0.6839,33.752,31.747
63.118,0.6729,34.825,31.415
62.409,0.6666,33.822,31.640
63.144,0.6713,33.368,32.898
62.603,0.6912,33.272,32.546
62.997,0.6626,33.251,32.816
63.281,0.6773,34.392,32.045
62.229,0.6728,33.537,31.772
61.968,0.6595,32.829,32.149
61.758,0.6679,33.698,31.085
62.679,0.6739,32.957,32.826
63.357,0.6792,33.301,33.234
60.689,0.6584,33.119,30.489
62.331,0.6626,33.184,32.176
63.756,0.6805,33.871,33.084
62.516,0.6816,33.783,31.880
62.633,0.6682,33.696,32.015
62.320,0.6786,33.806,31.633
62.035,0.6733,33.470,31.640
64.170,0.6788,34.791,32.589
62.325,0.6741,33.258,32.167
62.849,0.6699,33.737,32.212
62.428,0.6745,33.714,31.815
64.034,0.6862,34.272,33.018
62.591,0.6843,32.975,32.788
63.078,0.6808,33.449,32.803
61.886,0.6749,33.738,31.218
62.092,0.6824,33.315,31.881
62.071,0.6547,33.126,31.926
63.046,0.6805,34.804,31.407
62.049,0.6730,32.856,32.273
63.611,0.6851,33.850,32.986
61.726,0.6729,33.923,30.850
61.526,0.6755,32.825,31.767
62.698,0.6739,34.318,31.490
64.053,0.6823,34.056,33.228
62.484,0.6786,33.340,32.272
63.184,0.6861,34.333,32.059
62.639,0.6769,32.971,32.788
63.142,0.6743,34.013,32.269
62.620,0.6885,35.142,30.656
61.670,0.6631,33.291,31.393
62.899,0.6737,33.684,32.331
62.393,0.6861,32.943,32.623
63.610,0.6852,34.103,32.735
62.342,0.6657,34.057,31.334
62.138,0.6752,32.766,32.467
61.351,0.6656,32.747,31.603
62.164,0.6656,32.940,32.261
62.694,0.6781,33.289,32.543
62.671,0.6732,33.102,32.679
63.966,0.6722,34.218,32.921
62.155,0.6619,33.375,31.803
63.774,0.6717,34.191,32.746
62.361,0.6839,32.891,32.627
63.493,0.6920,34.442,32.307
63.054,0.6752,33.430,32.766
62.688,0.6716,34.199,31.579
62.730,0.6729,33.402,32.442
64.384,0.6861,34.210,33.447
64.687,0.6868,34.021,33.961
62.262,0.6788,34.140,31.238
62.561,0.6748,34.573,31.072
61.217,0.6617,33.549,30.624
62.327,0.6577,33.527,31.813
61.895,0.6694,33.296,31.643
63.574,0.6828,34.312,32.474
62.279,0.6739,34.630,30.741
64.290,0.6772,34.165,33.339
63.122,0.6762,33.483,32.789
62.194,0.6755,32.796,32.496
62.934,0.6762,33.682,32.395
62.862,0.6840,34.544,31.495
61.375,0.6600,33.118,31.225
62.864,0.6650,33.728,32.205
60.964,0.6686,33.612,30.341
63.830,0.6804,33.948,33.089
62.645,0.6830,33.854,31.946
62.580,0.6818,33.173,32.562
62.044,0.6597,34.591,30.446
62.612,0.6695,34.636,31.057
61.798,0.6663,32.503,32.323
62.419,0.6714,33.330,32.178
62.223,0.6825,33.298,32.065
61.208,0.6641,33.136,31.047
61.562,0.6767,33.703,30.919
62.620,0.6761,34.225,31.511
61.883,0.6617,33.639,31.244
62.933,0.6899,33.447,32.698
62.491,0.6764,33.129,32.474
63.009,0.6832,34.529,31.655
62.070,0.6671,33.563,31.550
62.212,0.6664,32.864,32.397
63.653,0.6818,33.621,33.240
63.163,0.6874,33.541,32.842
63.126,0.6751,33.242,33.029
62.886,0.6743,34.031,32.004
63.705,0.6796,33.911,32.989
62.008,0.6677,33.195,31.857
62.646,0.6810,32.913,32.888
61.806,0.6652,33.003,31.826
63.295,0.6851,33.895,32.609
62.116,0.6766,33.241,31.973
62.204,0.6586,32.751,32.455
63.591,0.6853,33.533,33.285
62.516,0.6745,33.210,32.419
62.315,0.6790,33.115,32.367
62.996,0.6801,33.917,32.236
63.577,0.6758,33.900,32.852
64.122,0.6782,34.362,32.972
61.892,0.6830,32.899,32.130
64.225,0.6862,34.375,33.114
63.729,0.6806,33.621,33.294
64.025,0.6853,33.778,33.483
62.697,0.6758,33.184,32.639
63.220,0.6933,34.587,31.875
60.994,0.6659,33.145,30.829
63.031,0.6903,33.700,32.558
62.544,0.6830,32.974,32.726
63.210,0.6844,33.877,32.534
61.763,0.6729,33.510,31.310
62.620,0.6768,33.622,32.124
62.823,0.6822,33.779,32.222
62.498,0.6805,33.315,32.328
63.064,0.6698,35.004,31.161
62.646,0.6754,33.100,32.671
62.614,0.6820,33.306,32.485
61.988,0.6763,32.999,32.085
63.378,0.6890,34.838,31.772
63.545,0.6649,33.843,32.806
61.945,0.6737,33.236,31.784
63.018,0.6651,33.100,33.001
62.914,0.6837,34.932,31.159
63.008,0.6722,33.201,32.935
62.311,0.6614,33.495,31.838
62.101,0.6809,34.003,31.213
62.400,0.6868,34.431,31.135
