Population,IID,Average_ROH_length_Mb,Total_ROH_length_Mb,ROH_count,FROH
ACB,HG02580,0.828533861111111,29.827219,36,0.0106957955196046
ASW,NA19625,0.736183617647059,25.030243,34,0.0089756393626243
ASW,NA19700,0.671716529411765,22.838362,34,0.0081896488557887
ASW,NA19701,0.693495361111111,24.965833,36,0.00895254246614804
ASW,NA19703,0.68504272,34.252136,50,0.0122825343779348
ASW,NA19704,0.620958730769231,16.144927,26,0.00578943809246661
ASW,NA19707,0.78245656097561,32.080719,41,0.0115038820932617
ASW,NA19711,0.846644860465116,36.405729,43,0.0130547951227414
ASW,NA19712,0.771979516129032,47.86273,62,0.0171631814917122
ASW,NA19713,0.7785345,42.040863,54,0.0150755078479061
ASW,NA19818,0.733088166666667,35.188232,48,0.0126182107077569
ASW,NA19819,0.730244340909091,32.130751,44,0.0115218231571415
ASW,NA19834,0.830085545454546,18.261882,22,0.00654856075167948
ASW,NA19835,0.802489902439024,32.902086,41,0.0117984175468872
ASW,NA19900,0.689007571428571,28.938318,42,0.0103770429287858
ASW,NA19901,0.977836530612245,47.91399,49,0.0171815629062965
ASW,NA19904,0.879562818181818,38.700764,44,0.0138777758059334
ASW,NA19908,0.7890824375,37.875957,48,0.0135820067965886
ASW,NA19909,0.769253844444445,34.616423,45,0.0124131647012797
ASW,NA19913,0.87644318,43.822159,50,0.0157142659492191
ASW,NA19914,0.751586454545455,33.069804,44,0.0118585598428537
ASW,NA19916,0.840069452380952,35.282917,42,0.012652163970338
ASW,NA19917,0.749016454545455,32.956724,44,0.0118180102845004
ASW,NA19920,0.778792095238095,32.709268,42,0.0117292745972713
ASW,NA19921,0.637148108108108,23.57448,37,0.00845361471885827
ASW,NA19922,0.690362290909091,37.969926,55,0.0136157033074562
ASW,NA19923,0.743643163265306,36.438515,49,0.0130665519128031
ASW,NA19982,0.784866238095238,32.964382,42,0.0118207563803429
ASW,NA19984,0.778162666666667,37.351808,48,0.0133940512742919
ASW,NA20126,0.683134058823529,23.226558,34,0.00832885274997435
ASW,NA20127,0.730329363636364,32.134492,44,0.0115231646489863
ASW,NA20274,0.631551107142857,17.683431,28,0.00634113297860715
ASW,NA20276,0.790788564102564,30.840754,39,0.0110592408381897
ASW,NA20278,0.65787195,13.157439,20,0.00471814945622893
ASW,NA20281,0.6837983125,21.881546,32,0.00784654250430866
ASW,NA20282,0.747876081081081,27.671415,37,0.0099227419283749
ASW,NA20287,0.769327781818182,42.313028,55,0.015173103979399
ASW,NA20289,0.841863,37.883835,45,0.0135848317826225
ASW,NA20291,0.8104435,32.41774,40,0.0116247350531643
ASW,NA20294,0.722100545454546,31.772424,44,0.0113933300407986
ASW,NA20296,0.678651473684211,25.788756,38,0.00924763588858141
ASW,NA20298,0.868433225,34.737329,40,0.0124565205988943
ASW,NA20299,0.656767352941177,11.165045,17,0.00400369334758243
ASW,NA20314,0.786066952662722,132.845315,169,0.0476372378188348
ASW,NA20317,0.710058825,28.402353,40,0.01018485028603
ASW,NA20318,0.672763117647059,22.873946,34,0.00820240898564759
ASW,NA20320,0.786844838709678,24.39219,31,0.00874683880234846
ASW,NA20321,0.784971727272727,34.538756,44,0.0123853139535911
ASW,NA20332,0.79188045945946,29.299577,37,0.0105065874362243
ASW,NA20334,0.723741717948718,28.225927,39,0.0101215853728532
ASW,NA20339,0.769102074074074,41.531512,54,0.0148928587667528
ASW,NA20340,0.76999206122449,37.729611,49,0.0135295283241199
ASW,NA20342,0.790311137931035,45.838046,58,0.0164371464545264
ASW,NA20346,0.795294720930233,34.197673,43,0.0122630043938828
ASW,NA20348,0.791058041666667,37.970786,48,0.013616011696386
ASW,NA20351,0.66517915,26.607166,40,0.00954111098631679
ASW,NA20355,0.722061265306123,35.381002,49,0.0126873364449674
ASW,NA20356,0.696940218181818,38.331712,55,0.0137454367927622
ASW,NA20357,0.71282,30.65126,43,0.0109912898476468
ASW,NA20359,0.801621954545455,52.907049,66,0.0189720328150507
ASW,NA20362,0.752834480769231,39.147393,52,0.0140379332935331
ASW,NA20412,0.719984743589744,28.079405,39,0.0100690437882313
Abkhasian,abh100,0.742897411392405,117.377791,158,0.0420907108731421
Abkhasian,abh107,0.762270792207792,117.389702,154,0.04209498205982
Achuar,IAGD0030,0.803838470588235,232.309318,289,0.0833042115869672
Achuar,IAGD0031,0.842798709219858,237.669236,282,0.0852262341171216
Achuar,IAGD0032,1.06044863333333,349.948049,330,0.125488493398885
Adygei,HGDP01382,0.783121632258065,121.383853,155,0.0435272517719385
Adygei,HGDP01383,1.059277875,152.536014,144,0.0546981606002072
Adygei,HGDP01384,1.1968820982659,207.060603,173,0.0742502299612322
Adygei,HGDP01385,0.814927986206897,118.164558,145,0.042372839051219
Adygei,HGDP01386,0.755757126582278,119.409626,158,0.0428193102001385
Adygei,HGDP01387,0.744988948387097,115.473287,155,0.0414077713959394
Adygei,HGDP01388,0.742687362318841,102.490856,138,0.0367523783697449
Adygei,HGDP01396,0.720744694029851,96.579789,134,0.0346327183392646
Adygei,HGDP01397,0.863985717241379,125.277929,145,0.0449236354117877
