evento_id,fecha_hora_utc,lat_grados,lon_grados,profundidad_km,magnitud_ml
600,2021-08-30 21:32:47,41.4122,129.0151,-1.8,1.1
601,2021-08-30 21:38:09,41.4197,129.0092,-1.8,1.1
603,2021-09-01 09:39:52,41.3858,129.027,-1.5,2.2
605,2021-09-01 11:21:03,41.4007,129.1109,-1.5,1.3
607,2021-09-01 14:02:13,41.3987,129.1118,-1.4,1.2
609,2021-09-01 14:21:08,41.3993,129.112,-1.5,1.0
610,2021-09-01 14:45:58,41.3991,129.1104,-1.4,1.1
611,2021-09-01 14:58:17,41.4269,129.0885,-1.4,1.2
612,2021-09-01 15:12:54,41.4303,129.0846,-1.7,1.0
613,2021-09-01 15:22:25,41.4192,129.0935,-1.8,0.9
614,2021-09-01 15:45:35,41.3997,129.1118,-1.5,1.3
615,2021-09-01 15:46:54,41.399,129.1101,-1.4,1.2
616,2021-09-01 17:05:35,41.4006,129.1119,-1.5,1.6
617,2021-09-01 18:55:29,41.4817,129.06,-1.3,1.3
618,2021-09-02 16:37:10,41.4034,129.1064,-1.4,1.2
619,2021-09-02 16:38:11,41.4028,129.1065,-1.5,1.5
620,2021-09-03 09:01:58,41.4017,129.1017,-1.6,1.2
621,2021-09-03 14:19:05,41.5066,129.0316,1.2,1.1
626,2021-09-10 18:16:44,41.3312,129.1378,-1.8,1.9
