ssp,tipo,metrica,periodo,banda_lat,ensemble_mean,ensemble_std,n_models
ssp370,PHW,dur,fut,Polar,48.03079552675064,13.656261557461255,3
ssp370,PHW,dur,fut,Subpolar,61.23032444885086,27.26469499632605,3
ssp370,PHW,dur,fut,Temperada,98.11186728871235,34.687295553730856,3
ssp370,PHW,dur,fut,Tropical,158.92629784693014,13.077326896322386,3
ssp370,PHW,dur,hist,Polar,7.851972555079556,0.18926140090869853,3
ssp370,PHW,dur,hist,Subpolar,9.798635934808315,0.1216985470434353,3
ssp370,PHW,dur,hist,Temperada,13.82291702984037,0.3239120150270435,3
ssp370,PHW,dur,hist,Tropical,16.701674265470118,0.2462771751921848,3
ssp370,PHW,int,fut,Polar,3.5346203859262104,1.0452282615581239,3
ssp370,PHW,int,fut,Subpolar,3.084855518325838,0.8252775143827017,3
ssp370,PHW,int,fut,Temperada,2.4056124658815863,0.36570376444379765,3
ssp370,PHW,int,fut,Tropical,1.2262186053530355,0.17160910764092668,3
ssp370,PHW,int,hist,Polar,1.2207937094430912,0.03629747771822567,3
ssp370,PHW,int,hist,Subpolar,1.2984506729789935,0.05915745741939828,3
ssp370,PHW,int,hist,Temperada,1.3353282123578742,0.058786013278018016,3
ssp370,PHW,int,hist,Tropical,0.8002496401764093,0.01564431730992281,3
ssp370,PHW,tot,fut,Polar,68.66912503395122,6.510722945826107,3
ssp370,PHW,tot,fut,Subpolar,109.38864724873389,19.065951276062872,3
ssp370,PHW,tot,fut,Temperada,192.29003335912557,23.382429548912405,3
ssp370,PHW,tot,fut,Tropical,248.21956185816228,17.110200559564564,3
ssp370,PHW,tot,hist,Polar,11.273259737344285,0.20718664770600165,3
ssp370,PHW,tot,hist,Subpolar,17.009702333284057,0.3014002159141067,3
ssp370,PHW,tot,hist,Temperada,26.43568496036862,0.49672322982410316,3
ssp370,PHW,tot,hist,Tropical,33.33436405620491,0.2688118638112617,3
ssp370,SHW,count,fut,Polar,2.0073429145911255,0.6959187282018895,3
ssp370,SHW,count,fut,Subpolar,3.1341710098886284,1.2946243158678472,3
ssp370,SHW,count,fut,Temperada,5.2100156540029365,1.8082333745743693,3
ssp370,SHW,count,fut,Tropical,5.046034155120593,2.215922277341649,3
ssp370,SHW,count,hist,Polar,0.8253331009722977,0.00491920094383308,3
ssp370,SHW,count,hist,Subpolar,1.3469286700690786,0.02147836889580758,3
ssp370,SHW,count,hist,Temperada,2.1799465911275835,0.025623539366865487,3
ssp370,SHW,count,hist,Tropical,2.637194834308166,0.015278524405760836,3
ssp370,SHW,cum,fut,Polar,438.92566405389107,389.66413768310866,3
ssp370,SHW,cum,fut,Subpolar,451.4778970090344,447.99580803468154,3
ssp370,SHW,cum,fut,Temperada,383.25987078847015,365.8397519868229,3
ssp370,SHW,cum,fut,Tropical,329.5081122920291,287.05307478860874,3
ssp370,SHW,cum,hist,Polar,26.402180958282212,1.446261446585,3
ssp370,SHW,cum,hist,Subpolar,25.070236074353332,1.1120708717813068,3
ssp370,SHW,cum,hist,Temperada,21.183912921517646,1.6969532864403085,3
ssp370,SHW,cum,hist,Tropical,15.624142591016815,0.4910620649789209,3
ssp370,SHW,dur,fut,Polar,66.04721597163673,35.414091551326166,3
ssp370,SHW,dur,fut,Subpolar,77.2464053376706,53.62304832641248,3
ssp370,SHW,dur,fut,Temperada,86.4122497768844,57.83276366664397,3
ssp370,SHW,dur,fut,Tropical,105.35819308551794,60.68141725352527,3
ssp370,SHW,dur,hist,Polar,7.015384330870698,0.2365292119662751,3
