year,plot,region,condition,herbi,rel_doy,rel_doy_lead,delay_day
2018,MLM,M,LM,0.193223190335236,-5.178957882470456,-4.996004661228568,0.1829532212418883
2020,TLC,T,LC,0.294397908856943,-11.577867487930746,42.0957216580656,53.673589145996345
2017,NLC,N,LC,0.180339684939412,-17.693815548526715,19.821042117529544,37.51485766605626
2019,NLM,N,LM,0.0110638306276556,0.003995338771431989,12.422132512069254,12.418137173297822
2019,MLM,M,LM,0.201050691575331,-7.996004661228568,-12.577867487930746,-4.581862826702178
2020,FH2C,F,HC,0.365152192757787,-3.577867487930746,-1.9042783419344005,1.6735891459963455
2018,MHC,M,HC,0.103515906153616,-6.178957882470456,2.003995338771432,8.182953221241888
2019,NHM,N,HM,0.383531689181567,21.003995338771432,25.422132512069254,4.418137173297822
2017,FHM,F,HM,0.0231134394697994,-0.6938155485267146,-6.178957882470456,-5.485142333943742
2019,BHC,B,HC,0.325010709965039,1.003995338771432,-4.577867487930746,-5.581862826702178
2018,THC,T,HC,0.444396831944224,7.821042117529544,1.003995338771432,-6.817046778758112
2018,DHC,D,HC,0.25463734770117,-1.1789578824704563,3.003995338771432,4.182953221241888
2019,SLM,S,LM,0.0728077331255346,11.003995338771432,9.422132512069254,-1.581862826702178
2017,JLM,J,LM,0.147903668608995,0.30618445147328543,0.8210421175295437,0.5148576660562583
2017,ALM,A,LM,0.0842417168918972,-11.693815548526715,0.8210421175295437,12.514857666056258
2019,FLC,F,LC,0.20765725241516,1.003995338771432,38.422132512069254,37.41813717329782
2017,JLM,J,LM,0.229450024297868,6.306184451473285,-0.1789578824704563,-6.485142333943742
2017,MHM,M,HM,0.0746789758450099,24.306184451473285,-1.1789578824704563,-25.48514233394374
2018,MLM,M,LM,0.109384481828646,4.821042117529544,1.003995338771432,-3.8170467787581117
2017,MHC,M,HC,0.250262512829158,-15.693815548526715,22.821042117529544,38.51485766605626
2017,GHC,G,HC,0.404096952471436,-3.6938155485267146,-12.178957882470456,-8.485142333943742
2018,OHC,O,HC,0.0170321201441541,-13.178957882470456,-4.996004661228568,8.182953221241888
2020,D7H2C,D,HC,0.323154331040172,-5.577867487930746,-29.9042783419344,-24.326410854003655
2019,ALC,A,LC,0.472873404571162,-2.996004661228568,12.422132512069254,15.418137173297822
2017,SLC,S,LC,0.134251872960064,18.306184451473285,4.821042117529544,-13.485142333943742
2019,HHC,H,HC,0.192567114829302,-5.996004661228568,-9.577867487930746,-3.581862826702178
2020,DHC,D,HC,0.368097626261245,14.422132512069254,-1.9042783419344005,-16.326410854003655
2017,D4H2C,D,HC,0.15479016145267,-0.6938155485267146,-0.1789578824704563,0.5148576660562583
2017,TLM,T,LM,0.178555892643878,2.3061844514732854,4.821042117529544,2.5148576660562583
2019,MLM,M,LM,-0.0234785546639724,18.003995338771432,-0.5778674879307459,-18.581862826702178
2017,AHM,A,HM,0.237116406681809,-5.693815548526715,16.821042117529544,22.51485766605626
2018,D7H2C,D,HC,0.446541369574,-10.178957882470456,-9.996004661228568,0.1829532212418883
2020,SLC,S,LC,0.241993780607055,1.422132512069254,12.0957216580656,10.673589145996345
2019,OLM,O,LM,0.319687912531883,1.003995338771432,0.42213251206925406,-0.5818628267021779
2017,JLM,J,LM,0.261283159742716,-14.693815548526715,-5.178957882470456,9.514857666056258
2018,BLC,B,LC,0.297045863435907,-0.1789578824704563,9.003995338771432,9.182953221241888
2020,D8H2C,D,HC,0.638552762242697,7.422132512069254,4.0957216580655995,-3.3264108540036545
2018,ALM,A,LM,0.34121392214609,16.821042117529544,-4.996004661228568,-21.81704677875811
2018,GHC,G,HC,0.0299411660143213,46.821042117529544,17.003995338771432,-29.81704677875811
2020,GLM,G,LM,0.274997250134658,7.422132512069254,12.0957216580656,4.6735891459963455
2018,FLC,F,LC,0.108796431610603,29.821042117529544,1.003995338771432,-28.81704677875811
2017,OLC,O,LC,0.319663744397489,19.306184451473285,13.821042117529544,-5.485142333943742
2019,HHC,H,HC,0.338343056449476,3.003995338771432,17.422132512069254,14.418137173297822
2018,D7H2C,D,HC,0.18077260295635,7.821042117529544,17.003995338771432,9.182953221241888
2018,JHC,J,HC,0.0458398844455123,4.821042117529544,4.003995338771432,-0.8170467787581117
2019,MLC,M,LC,0.150781770319566,-4.996004661228568,-5.577867487930746,-0.5818628267021779
2018,AHC,A,HC,0.265079645572162,-2.1789578824704563,7.003995338771432,9.182953221241888
2018,GHC,G,HC,0.138807674479492,10.821042117529544,24.003995338771432,13.182953221241888
2020,HLC,H,LC,0.673258201698977,-5.577867487930746,-5.9042783419344005,-0.32641085400365455
2020,D8H2C,D,HC,0.112556036515862,-7.577867487930746,3.0957216580655995,10.673589145996345
2018,FH2C,F,HC,0.327771032611353,-12.178957882470456,1.003995338771432,13.182953221241888
2017,FLM,F,LM,0.206663361576452,3.3061844514732854,-6.178957882470456,-9.485142333943742
2019,NLC,N,LC,0.310155196031589,1.003995338771432,26.422132512069254,25.418137173297822
2020,NHM,N,HM,0.435005541112674,11.422132512069254,0.09572165806559951,-11.326410854003655
2020,OLC,O,LC,0.291131082957988,-4.577867487930746,-29.9042783419344,-25.326410854003655
2018,OLM,O,LM,0.130247937114872,-1.1789578824704563,-4.996004661228568,-3.8170467787581117
2019,JLM,J,LM,0.210810959484974,-3.996004661228568,5.422132512069254,9.418137173297822
2018,DLC,D,LC,0.167432436247366,-3.1789578824704563,-3.996004661228568,-0.8170467787581117
2020,JLM,J,LM,0.489715354682446,4.422132512069254,-3.9042783419344005,-8.326410854003655
2017,GHM,G,HM,0.556337350130471,13.306184451473285,4.821042117529544,-8.485142333943742
2018,D7H2C,D,HC,0.325933479068309,-7.178957882470456,16.003995338771432,23.18295322124189
2019,FHC,F,HC,0.303030191123524,-10.996004661228568,-4.577867487930746,6.418137173297822
2020,D8H2C,D,HC,0.359246953094075,-0.5778674879307459,19.0957216580656,19.673589145996345
2018,D4H2C,D,HC,0.250998153684608,-0.1789578824704563,-4.996004661228568,-4.817046778758112
2017,HHM,H,HM,0.224551582150116,-5.693815548526715,-1.1789578824704563,4.514857666056258
2020,TLM,T,LM,0.11948321640074,-2.577867487930746,11.0957216580656,13.673589145996345
2017,HHM,H,HM,0.445849570867797,-15.693815548526715,-10.178957882470456,5.514857666056258
2018,NHC,N,HC,0.509721298931523,16.821042117529544,1.003995338771432,-15.817046778758112
2019,JLM,J,LM,0.175796028063945,-7.996004661228568,18.422132512069254,26.418137173297822
2019,SHM,S,HM,0.310140172209138,23.003995338771432,-11.577867487930746,-34.58186282670218
2020,OHC,O,HC,0.198937879718573,-6.577867487930746,13.0957216580656,19.673589145996345
2018,DLC,D,LC,0.5371164580737,0.8210421175295437,8.003995338771432,7.182953221241888
2017,D6H2C,D,HC,0.161047207186009,-29.693815548526715,-5.178957882470456,24.51485766605626
2019,GHM,G,HM,0.151839243723816,-15.996004661228568,-7.577867487930746,8.418137173297822
2018,GHC,G,HC,0.179308829773075,-13.178957882470456,7.003995338771432,20.18295322124189
2017,SLC,S,LC,0.190482657090517,-3.6938155485267146,40.821042117529544,44.51485766605626
2019,NHM,N,HM,0.0353327631302252,-11.996004661228568,-7.577867487930746,4.418137173297822
2019,FHM,F,HM,0.21934818678914,-4.996004661228568,-5.577867487930746,-0.5818628267021779
2018,HLM,H,LM,0.214802044152303,-4.178957882470456,15.003995338771432,19.18295322124189
2017,BHC,B,HC,-0.0078246080006763,-17.693815548526715,-1.1789578824704563,16.51485766605626
2018,SHM,S,HM,0.134833198943382,36.821042117529544,-5.996004661228568,-42.81704677875811
2018,BHM,B,HM,0.485434478392723,-17.178957882470456,50.00399533877143,67.18295322124189
2018,OLC,O,LC,0.2230752424514,12.821042117529544,1.003995338771432,-11.817046778758112
2018,D8H2C,D,HC,0.291133221452162,-7.178957882470456,-34.99600466122857,-27.81704677875811
2020,GLC,G,LC,0.348305868523983,0.42213251206925406,0.09572165806559951,-0.32641085400365455
2020,GLM,G,LM,0.309353356849781,5.422132512069254,14.0957216580656,8.673589145996345
2020,ALC,A,LC,0.1093754841405,-22.577867487930746,-7.9042783419344005,14.673589145996345
2018,FH2C,F,HC,0.207730435254278,-4.178957882470456,9.003995338771432,13.182953221241888
2017,SHM,S,HM,0.176034878232652,2.3061844514732854,4.821042117529544,2.5148576660562583
2020,NHM,N,HM,0.17693015309368,22.422132512069254,0.09572165806559951,-22.326410854003655
2017,MLC,M,LC,0.138108878020897,-11.693815548526715,11.821042117529544,23.51485766605626
